ppnt_cde;Lambert72_X;Lambert72_Y
BAOL001X;99388,84;172580,89
BAOL002X;145565,073;156231,005
BAOL003X;125588,958;158647,407
BAOL004X;166813,2;166081,8
BAOL005X;242531,462;196429,301
BAOL006X;238494,538;179477,254
BAOL007X;NULL;NULL
BAOL008X;78174,868;197346,7
BAOL009X;169695,7;167289,8
BAOL010X;237209,9;185867,5
BAOL011X;217963,598;199002,58
BAOL012X;146113,2907;196127,6432
BAOL013A;223132;215942
BAOL013X;223787,723;217925,241
BAOL014X;213716;183665
BAOL015X;185266,36;179615,89
BAOL016X;166662,94;212899,22
BAOL017X;179852,339;184577,377
BAOL018X;185237,53;233998,57
BAOL019X;220483,27;196609,28
BAOL020X;128078;167410
BAOL021X;108224;163244
BAOL022X;223641;193330
BAOL023X;223773,738;188744,41
BAOL024X;184380,57;190623,04
BAOL025X;135962,89;161882,36
BAOL026X;194359,432;225417,978
BAOL027X;120085,3;162768,44
BAOL028X;95713,512;170452,208
BAOL029X;229315,844;221136,396
BAOL030X;193801,076;189533,742
BAOL031X;188307,628;167120,161
BAOL032X;164843,824;178240,642
BAOL033X;151430;207200
BAOL034X;139203;193764
BAOL035X;106385;192862
BAOL036X;225048,646;178511,401
BAOL037X;251504,96;206563,17
BAOL038X;37630,55;197016,16
BAOL039X;39662,52;182970,5
BAOL040X;240163,154;189948,077
BAOL041X;69183,09;221033,71
BAOL042X;54040,367;210979,196
BAOL043X;56489,6;211899,68
BAOL044X;34033,71;191271,3
BAOL045X;75036,24;199935,8
BAOL046X;65534,46;213889,28
BAOL047X;NULL;NULL
BAOL048X;44851,93;187012,32
BAOL049X;50965,25;183391,03
BAOL050X;26100,61;199397,7
BAOL051X;77708,01;227666,96
BAOL052X;73925,1;209121,9
BAOL053X;214469,59;196741,906
BAOL054X;36500,33;165248,641
BAOL055X;205817,056;220160,981
BAOL056X;225098,515;182066,436
BAOL057X;80752,14;181028,52
BAOL058X;64647,899;165972,574
BAOL059X;119056,69;161508,02
BAOL060X;140126,107;215325,375
BAOL061X;124320;202330
BAOL062X;128122;167393
BAOL063X;239204,858;181332,477
BAOL064X;218666,716;198697,377
BAOL065X;84218,52;213386,12
BAOL066X;223132;215942
BAOL067X;166513,7;204720,4
BAOL068X;225012,64;183011,143
BAOL069X;217709,132;186786,495
BAOL070X;98806,3;191357,305
BAOL071X;200817,401;190356,772
BAOL072X;227685,303;190121,854
BAOL073X;192300;189000
BAOL074X;187962;220545
BAOL075X;206646,98;204217,522
BAOL076X;90111,616;188160,232
BAOL077X;119000;191000
BAOL078X;128909,44;214999,95
BAOL079X;213086,958;204149,465
BAOL080X;244603;180446
BAOL081X;247680;190451
BAOL082X;NULL;NULL
BAOL083X;NULL;NULL
