Peilpunt;X_Lam72_;Y_Lam72_;RASTERVALU
BAOL001X;99388,84000000000;172580,89000000000;15,63000011440
BAOL002X;145565,07300000000;156231,00500000000;70,91000366210
BAOL003X;125588,95800000000;158647,40700000000;28,72999954220
BAOL004X;166813,20000000000;166081,80000000000;35,72000122070
BAOL005X;242531,46200000000;196429,30100000000;39,77000045780
BAOL006X;238494,53800000000;179477,25400000000;71,47000122070
BAOL008X;78174,86800000000;197346,70000000000;19,77000045780
BAOL009X;169695,70000000000;167289,80000000000;27,88999938960
BAOL010X;237209,90000000000;185867,50000000000;89,11000061040
BAOL011X;217963,59800000000;199002,58000000000;60,45999908450
BAOL012X;146113,29100000000;196127,64300000000;1,96000003815
BAOL013A;223132,00000000000;215942,00000000000;36,56000137330
BAOL014X;213716,00000000000;183665,00000000000;25,81999969480
BAOL015X;185266,36000000000;179615,89000000000;28,29000091550
BAOL016X;166662,94000000000;212899,22000000000;8,10000038147
BAOL017X;179852,33900000000;184577,37700000000;12,17000007630
BAOL018X;185237,53000000000;233998,57000000000;19,20094680790
BAOL019X;220483,27000000000;196609,28000000000;70,25000000000
BAOL020X;128078,00000000000;167410,00000000000;18,45000076290
BAOL021X;108224,00000000000;163244,00000000000;62,91999816890
BAOL022X;223641,00000000000;193330,00000000000;71,93000030520
BAOL023X;223773,73800000000;188744,41000000000;59,18000030520
BAOL024X;184380,57000000000;190623,04000000000;14,31000041960
BAOL025X;135962,89000000000;161882,36000000000;31,15999984740
BAOL026X;194359,43200000000;225417,97800000000;23,12999916080
BAOL027X;120085,30000000000;162768,44000000000;69,11000061040
BAOL028X;95713,51200000000;170452,20800000000;9,64999961853
BAOL029X;229315,84400000000;221136,39600000000;30,64999961850
BAOL030X;193801,07600000000;189533,74200000000;17,92000007630
BAOL031X;188307,62800000000;167120,16100000000;48,70000076290
BAOL032X;164843,82400000000;178240,64200000000;20,87999916080
BAOL033X;151430,00000000000;207200,00000000000;14,67000007630
