"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"7019","BAOL001X","275","D0939","237297","14/05/2009 12:00:00 +02:00","1026,675","16,373","LDME","ENT"
"7019","BAOL001X","275","D0939","237298","15/05/2009 0:00:00 +02:00","1022,85","13,707","LDME","ENT"
"7019","BAOL001X","275","D0939","237299","15/05/2009 12:00:00 +02:00","1024,275","14,887","LDME","ENT"
"7019","BAOL001X","275","D0939","237300","16/05/2009 0:00:00 +02:00","1027,95","10,3","LDME","ENT"
"7019","BAOL001X","275","D0939","237301","16/05/2009 12:00:00 +02:00","1030,325","12,093","LDME","ENT"
"7019","BAOL001X","275","D0939","237302","17/05/2009 0:00:00 +02:00","1030,625","13","LDME","ENT"
"7019","BAOL001X","275","D0939","237303","17/05/2009 12:00:00 +02:00","1029,375","13,257","LDME","ENT"
"7019","BAOL001X","275","D0939","237304","18/05/2009 0:00:00 +02:00","1032,875","12,61","LDME","ENT"
"7019","BAOL001X","275","D0939","237305","18/05/2009 12:00:00 +02:00","1036,65","13,787","LDME","ENT"
"7019","BAOL001X","275","D0939","237306","19/05/2009 0:00:00 +02:00","1039,4","","LDME","ENT"
"7019","BAOL001X","275","D0939","237307","19/05/2009 12:00:00 +02:00","1039,675","14,653","LDME","ENT"
"7019","BAOL001X","275","D0939","237308","20/05/2009 0:00:00 +02:00","1040,9","","LDME","ENT"
"7019","BAOL001X","275","D0939","237309","20/05/2009 12:00:00 +02:00","1041,45","15,337","LDME","ENT"
"7019","BAOL001X","275","D0939","237310","21/05/2009 0:00:00 +02:00","1036,5","","LDME","ENT"
"7019","BAOL001X","275","D0939","237311","21/05/2009 12:00:00 +02:00","1033,825","15,66","LDME","ENT"
"7019","BAOL001X","275","D0939","237312","22/05/2009 0:00:00 +02:00","1034,125","13,55","LDME","ENT"
"7019","BAOL001X","275","D0939","237313","22/05/2009 12:00:00 +02:00","1036,65","14,62","LDME","ENT"
"7019","BAOL001X","275","D0939","237314","23/05/2009 0:00:00 +02:00","1039,35","13,153","LDME","ENT"
"7019","BAOL001X","275","D0939","237315","23/05/2009 12:00:00 +02:00","1038,875","15,343","LDME","ENT"
"7019","BAOL001X","275","D0939","237316","24/05/2009 0:00:00 +02:00","1035,9","","LDME","ENT"
"7019","BAOL001X","275","D0939","237317","24/05/2009 12:00:00 +02:00","1039,225","16,607","LDME","ENT"
"7019","BAOL001X","275","D0939","237318","25/05/2009 0:00:00 +02:00","1039,025","15,27","LDME","ENT"
"7019","BAOL001X","275","D0939","237319","25/05/2009 12:00:00 +02:00","1037,65","17,487","LDME","ENT"
"7019","BAOL001X","275","D0939","237320","26/05/2009 0:00:00 +02:00","1028,625","17,157","LDME","ENT"
"7019","BAOL001X","275","D0939","237321","26/05/2009 12:00:00 +02:00","1030,15","15,923","LDME","ENT"
"7019","BAOL001X","275","D0939","237322","27/05/2009 0:00:00 +02:00","1040,775","12,597","LDME","ENT"
"7019","BAOL001X","275","D0939","237323","27/05/2009 12:00:00 +02:00","1045,7","","LDME","ENT"
"7019","BAOL001X","275","D0939","237324","28/05/2009 0:00:00 +02:00","1043,325","12,317","LDME","ENT"
"7019","BAOL001X","275","D0939","237325","28/05/2009 12:00:00 +02:00","1048,725","15,533","LDME","ENT"
"7019","BAOL001X","275","D0939","237326","29/05/2009 0:00:00 +02:00","1052,1","","LDME","ENT"
"7019","BAOL001X","275","D0939","237327","29/05/2009 12:00:00 +02:00","1052,375","15,887","LDME","ENT"
"7019","BAOL001X","275","D0939","237328","30/05/2009 0:00:00 +02:00","1046,975","14,13","LDME","ENT"
"7019","BAOL001X","275","D0939","237329","30/05/2009 12:00:00 +02:00","1045,85","15,853","LDME","ENT"
"7019","BAOL001X","275","D0939","237330","31/05/2009 0:00:00 +02:00","1042,9","","LDME","ENT"
"7019","BAOL001X","275","D0939","237331","31/05/2009 12:00:00 +02:00","1042,9","","LDME","ENT"
"7019","BAOL001X","275","D0939","237332","1/06/2009 0:00:00 +02:00","1042,25","15,893","LDME","ENT"
"7019","BAOL001X","275","D0939","237333","1/06/2009 12:00:00 +02:00","1042,2","","LDME","ENT"
"7019","BAOL001X","275","D0939","237334","2/06/2009 0:00:00 +02:00","1042,1","","LDME","ENT"
"7019","BAOL001X","275","D0939","237335","2/06/2009 12:00:00 +02:00","1042,375","16,05","LDME","ENT"
"7019","BAOL001X","275","D0939","237336","3/06/2009 0:00:00 +02:00","1041,725","14,86","LDME","ENT"
