"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"2520","BAOL064X","112","A7255","4820133","23/12/2016 12:00:00 +01:00","1047,675","15,217","LDME","ENT"
"2520","BAOL064X","112","A7255","4820134","24/12/2016 0:00:00 +01:00","1039,3","5,903","LDME","ENT"
"2520","BAOL064X","112","A7255","4820135","24/12/2016 12:00:00 +01:00","1041,55","8,347","LDME","ENT"
"2520","BAOL064X","112","A7255","4820136","25/12/2016 0:00:00 +01:00","1041","7,75","LDME","ENT"
"2520","BAOL064X","112","A7255","4820137","25/12/2016 12:00:00 +01:00","1040,175","9,663","LDME","ENT"
"2520","BAOL064X","112","A7255","4820138","26/12/2016 0:00:00 +01:00","1039,925","9,58","LDME","ENT"
"2520","BAOL064X","112","A7255","4820139","26/12/2016 12:00:00 +01:00","1043,575","6,817","LDME","ENT"
"2520","BAOL064X","112","A7255","4820140","27/12/2016 0:00:00 +01:00","1050,875","-0,463","LDME","ENT"
"2520","BAOL064X","112","A7255","4820141","27/12/2016 12:00:00 +01:00","1057,825","9,093","LDME","ENT"
"2520","BAOL064X","112","A7255","4820142","28/12/2016 0:00:00 +01:00","1060,275","-4,407","LDME","ENT"
"2520","BAOL064X","112","A7255","4820143","28/12/2016 12:00:00 +01:00","1060,3","3,807","LDME","ENT"
"2520","BAOL064X","112","A7255","4820144","29/12/2016 0:00:00 +01:00","1057,425","-4,11","LDME","ENT"
"2520","BAOL064X","112","A7255","4820145","29/12/2016 12:00:00 +01:00","1054,925","5,327","LDME","ENT"
"2520","BAOL064X","112","A7255","4820146","30/12/2016 0:00:00 +01:00","1052,9","-8,23","LDME","ENT"
"2520","BAOL064X","112","A7255","4820147","30/12/2016 12:00:00 +01:00","1052,55","5,82","LDME","ENT"
"2520","BAOL064X","112","A7255","4820148","31/12/2016 0:00:00 +01:00","1050,05","-8,613","LDME","ENT"
"2520","BAOL064X","112","A7255","4820149","31/12/2016 12:00:00 +01:00","1048,375","-0,66","LDME","ENT"
"2520","BAOL064X","112","A7255","4820150","1/01/2017 0:00:00 +01:00","1041,55","-2,933","LDME","ENT"
"2520","BAOL064X","112","A7255","4820151","1/01/2017 12:00:00 +01:00","1034,05","-0,553","LDME","ENT"
"2520","BAOL064X","112","A7255","4820152","2/01/2017 0:00:00 +01:00","1034,25","-0,01","LDME","ENT"
"2520","BAOL064X","112","A7255","4820153","2/01/2017 12:00:00 +01:00","1038,85","1,55","LDME","ENT"
"2520","BAOL064X","112","A7255","4820154","3/01/2017 0:00:00 +01:00","1041,075","-3,883","LDME","ENT"
"2520","BAOL064X","112","A7255","4820155","3/01/2017 12:00:00 +01:00","1040,775","1,267","LDME","ENT"
"2520","BAOL064X","112","A7255","4820156","4/01/2017 0:00:00 +01:00","1033,85","3,07","LDME","ENT"
"2520","BAOL064X","112","A7255","4820157","4/01/2017 12:00:00 +01:00","1031,5","6,843","LDME","ENT"
"2520","BAOL064X","112","A7255","4820158","5/01/2017 0:00:00 +01:00","1037,275","-0,05","LDME","ENT"
"2520","BAOL064X","112","A7255","4820159","5/01/2017 12:00:00 +01:00","1046,325","6,663","LDME","ENT"
"2520","BAOL064X","112","A7255","4820160","6/01/2017 0:00:00 +01:00","1054,1","-9,343","LDME","ENT"
"2520","BAOL064X","112","A7255","4820161","6/01/2017 12:00:00 +01:00","1055,525","2,583","LDME","ENT"
