"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"12455","BAOL013A","768","L2546","2969353","8/11/2012 20:00:00 +01:00","1033,6","8,77","LDME","ENT"
"12455","BAOL013A","768","L2546","2969354","9/11/2012 0:00:00 +01:00","1033,65","8,02","LDME","ENT"
"12455","BAOL013A","768","L2546","2969355","9/11/2012 4:00:00 +01:00","1032,95","8,07","LDME","ENT"
"12455","BAOL013A","768","L2546","2969356","9/11/2012 8:00:00 +01:00","1032,95","7,65","LDME","ENT"
"12455","BAOL013A","768","L2546","2969357","9/11/2012 12:00:00 +01:00","1031,275","10,623","LDME","ENT"
"12455","BAOL013A","768","L2546","2969358","9/11/2012 16:00:00 +01:00","1027,15","10,557","LDME","ENT"
"12455","BAOL013A","768","L2546","2969359","9/11/2012 20:00:00 +01:00","1024,25","8,127","LDME","ENT"
"12455","BAOL013A","768","L2546","2969360","10/11/2012 0:00:00 +01:00","1021,85","7,893","LDME","ENT"
"12455","BAOL013A","768","L2546","2969361","10/11/2012 4:00:00 +01:00","1019,325","9,21","LDME","ENT"
"12455","BAOL013A","768","L2546","2969362","10/11/2012 8:00:00 +01:00","1017,9","9,857","LDME","ENT"
"12455","BAOL013A","768","L2546","2969363","10/11/2012 12:00:00 +01:00","1015,7","13,22","LDME","ENT"
"12455","BAOL013A","768","L2546","2969364","10/11/2012 16:00:00 +01:00","1013,5","12,283","LDME","ENT"
"12455","BAOL013A","768","L2546","2969365","10/11/2012 20:00:00 +01:00","1013,475","10,013","LDME","ENT"
"12455","BAOL013A","768","L2546","2969366","11/11/2012 0:00:00 +01:00","1015,875","11,363","LDME","ENT"
"12455","BAOL013A","768","L2546","2969367","11/11/2012 4:00:00 +01:00","1019,8","6,55","LDME","ENT"
"12455","BAOL013A","768","L2546","2969368","11/11/2012 8:00:00 +01:00","1024,25","6,447","LDME","ENT"
"12455","BAOL013A","768","L2546","2969369","11/11/2012 12:00:00 +01:00","1026,525","23,397","LDME","ENT"
"12455","BAOL013A","768","L2546","2969370","11/11/2012 16:00:00 +01:00","1029,2","11,807","LDME","ENT"
"12455","BAOL013A","768","L2546","2969371","11/11/2012 20:00:00 +01:00","1033,3","5,843","LDME","ENT"
"12455","BAOL013A","768","L2546","2969372","12/11/2012 0:00:00 +01:00","1036,2","6,103","LDME","ENT"
"12455","BAOL013A","768","L2546","2969373","12/11/2012 4:00:00 +01:00","1037,025","4,267","LDME","ENT"
"12455","BAOL013A","768","L2546","2969374","12/11/2012 8:00:00 +01:00","1039,625","5,757","LDME","ENT"
"12455","BAOL013A","768","L2546","2969375","12/11/2012 12:00:00 +01:00","1041,5","11,263","LDME","ENT"
"12455","BAOL013A","768","L2546","2969376","12/11/2012 16:00:00 +01:00","1041,8","8,437","LDME","ENT"
"12455","BAOL013A","768","L2546","2969377","12/11/2012 20:00:00 +01:00","1042,925","4,883","LDME","ENT"
"12455","BAOL013A","768","L2546","2969378","13/11/2012 0:00:00 +01:00","1043,725","6,423","LDME","ENT"
"12455","BAOL013A","768","L2546","2969379","13/11/2012 4:00:00 +01:00","1043,9","6,51","LDME","ENT"
"12455","BAOL013A","768","L2546","2969380","13/11/2012 8:00:00 +01:00","1045,25","6,21","LDME","ENT"
"12455","BAOL013A","768","L2546","2969381","13/11/2012 12:00:00 +01:00","1047,25","8,963","LDME","ENT"
"12455","BAOL013A","768","L2546","2969382","13/11/2012 16:00:00 +01:00","1046,45","10,14","LDME","ENT"
"12455","BAOL013A","768","L2546","2969383","13/11/2012 20:00:00 +01:00","1046,675","8,707","LDME","ENT"
"12455","BAOL013A","768","L2546","2969384","14/11/2012 0:00:00 +01:00","1046,625","7,77","LDME","ENT"
"12455","BAOL013A","768","L2546","2969385","14/11/2012 4:00:00 +01:00","1045,775","7,397","LDME","ENT"
"12455","BAOL013A","768","L2546","2969386","14/11/2012 8:00:00 +01:00","1045,2","2,713","LDME","ENT"
"12455","BAOL013A","768","L2546","2969387","14/11/2012 12:00:00 +01:00","1044","22,06","LDME","ENT"
"12455","BAOL013A","768","L2546","2969388","14/11/2012 16:00:00 +01:00","1041,375","13,407","LDME","ENT"
"12455","BAOL013A","768","L2546","2969389","14/11/2012 20:00:00 +01:00","1041,5","2,73","LDME","ENT"
"12455","BAOL013A","768","L2546","2969390","15/11/2012 0:00:00 +01:00","1041,625","-0,207","LDME","ENT"
"12455","BAOL013A","768","L2546","2969391","15/11/2012 4:00:00 +01:00","1041,5","2,7","LDME","ENT"
"12455","BAOL013A","768","L2546","2969392","15/11/2012 8:00:00 +01:00","1041,85","3,567","LDME","ENT"
"12455","BAOL013A","768","L2546","2969393","15/11/2012 12:00:00 +01:00","1041","6,8","LDME","ENT"
"12455","BAOL013A","768","L2546","2969394","15/11/2012 16:00:00 +01:00","1038,6","5,68","LDME","ENT"
"12455","BAOL013A","768","L2546","2969395","15/11/2012 20:00:00 +01:00","1038,075","4,473","LDME","ENT"
