"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"6757","BAOL014X","1461","R6519","2728398","12/12/2014 12:00:00 +02:00","1015,3","8,47","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728399","13/12/2014 0:00:00 +02:00","1022,3","6,083","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728400","13/12/2014 12:00:00 +02:00","1028,95","5,707","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728401","14/12/2014 0:00:00 +02:00","1033,025","1,353","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728402","14/12/2014 12:00:00 +02:00","1035,825","2,97","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728403","15/12/2014 0:00:00 +02:00","1033,2","1,043","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728404","15/12/2014 12:00:00 +02:00","1032,65","4,86","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728405","16/12/2014 0:00:00 +02:00","1031,9","5,007","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728406","16/12/2014 12:00:00 +02:00","1031,75","10,497","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728407","17/12/2014 0:00:00 +02:00","1032,975","3,093","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728408","17/12/2014 12:00:00 +02:00","1021,95","6,203","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728409","18/12/2014 0:00:00 +02:00","1028,625","9,99","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728410","18/12/2014 12:00:00 +02:00","1030,25","11,587","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728411","19/12/2014 0:00:00 +02:00","1031,975","11,933","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728412","19/12/2014 12:00:00 +02:00","1029,55","10,643","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728413","20/12/2014 0:00:00 +02:00","1039,325","4,543","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728414","20/12/2014 12:00:00 +02:00","1040,45","7,297","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728415","21/12/2014 0:00:00 +02:00","1047,4","4,29","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728416","21/12/2014 12:00:00 +02:00","1047,275","6,32","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728417","22/12/2014 0:00:00 +02:00","1042,975","7,81","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728418","22/12/2014 12:00:00 +02:00","1039,2","8,63","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728419","23/12/2014 0:00:00 +02:00","1037,9","11,547","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728420","23/12/2014 12:00:00 +02:00","1039,15","10,27","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728421","24/12/2014 0:00:00 +02:00","1036,75","9,42","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728422","24/12/2014 12:00:00 +02:00","1034,3","8,353","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728423","25/12/2014 0:00:00 +02:00","1039,9","4,633","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728424","25/12/2014 12:00:00 +02:00","1043,95","9,887","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728425","26/12/2014 0:00:00 +02:00","1047,775","2,75","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728426","26/12/2014 12:00:00 +02:00","1048,625","5,983","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728427","27/12/2014 0:00:00 +02:00","1033,6","3,03","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728428","27/12/2014 12:00:00 +02:00","1011,25","3,933","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728429","28/12/2014 0:00:00 +02:00","1024,7","0,157","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728430","28/12/2014 12:00:00 +02:00","1045,75","3,457","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728431","29/12/2014 0:00:00 +02:00","1053,975","-3,677","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728432","29/12/2014 12:00:00 +02:00","1052,625","5,053","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728433","30/12/2014 0:00:00 +02:00","1057","0,357","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728434","30/12/2014 12:00:00 +02:00","1056,15","5,21","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728435","31/12/2014 0:00:00 +02:00","1053,925","1,277","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728436","31/12/2014 12:00:00 +02:00","1054,675","4,793","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728437","1/01/2015 0:00:00 +02:00","1055,275","-1,64","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728438","1/01/2015 12:00:00 +02:00","1054,125","8,223","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728439","2/01/2015 0:00:00 +02:00","1046,975","2,81","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728440","2/01/2015 12:00:00 +02:00","1046,725","7,997","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728441","3/01/2015 0:00:00 +02:00","1052,45","1,85","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728442","3/01/2015 12:00:00 +02:00","1041,675","2,24","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728443","4/01/2015 0:00:00 +02:00","1044,875","1,773","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728444","4/01/2015 12:00:00 +02:00","1054,3","7,983","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728445","5/01/2015 0:00:00 +02:00","1055,825","1,62","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728446","5/01/2015 12:00:00 +02:00","1051,825","8,023","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728447","6/01/2015 0:00:00 +02:00","1046,425","-1,823","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728448","6/01/2015 12:00:00 +02:00","1041","5,603","LDME","ENT"
"6757","BAOL014X","1461","R6519","2728449","7/01/2015 0:00:00 +02:00","1043,65","3,48","LDME","ENT"
