"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"9106","BAOL053X","766","L2518","1352672","2/08/2012 12:00:00 +02:00","1029,225","24,773","LDME","ENT"
"9106","BAOL053X","766","L2518","1352673","3/08/2012 0:00:00 +02:00","1030,775","13,713","LDME","ENT"
"9106","BAOL053X","766","L2518","1352674","3/08/2012 12:00:00 +02:00","1032,075","26,647","LDME","ENT"
"9106","BAOL053X","766","L2518","1352675","4/08/2012 0:00:00 +02:00","1030,625","15,16","LDME","ENT"
"9106","BAOL053X","766","L2518","1352676","4/08/2012 12:00:00 +02:00","1029,7","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352677","5/08/2012 0:00:00 +02:00","1026,975","14,783","LDME","ENT"
"9106","BAOL053X","766","L2518","1352678","5/08/2012 12:00:00 +02:00","1025,4","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352679","6/08/2012 0:00:00 +02:00","1023,325","15,36","LDME","ENT"
"9106","BAOL053X","766","L2518","1352680","6/08/2012 12:00:00 +02:00","1026,325","24,43","LDME","ENT"
"9106","BAOL053X","766","L2518","1352681","7/08/2012 0:00:00 +02:00","1031,3","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352682","7/08/2012 12:00:00 +02:00","1036,375","19,857","LDME","ENT"
"9106","BAOL053X","766","L2518","1352683","8/08/2012 0:00:00 +02:00","1038,875","14,027","LDME","ENT"
"9106","BAOL053X","766","L2518","1352684","8/08/2012 12:00:00 +02:00","1040,95","18,587","LDME","ENT"
"9106","BAOL053X","766","L2518","1352685","9/08/2012 0:00:00 +02:00","1039,5","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352686","9/08/2012 12:00:00 +02:00","1042,1","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352687","10/08/2012 0:00:00 +02:00","1042,85","12,737","LDME","ENT"
"9106","BAOL053X","766","L2518","1352688","10/08/2012 12:00:00 +02:00","1043,525","25,1","LDME","ENT"
"9106","BAOL053X","766","L2518","1352689","11/08/2012 0:00:00 +02:00","1041,425","11,583","LDME","ENT"
"9106","BAOL053X","766","L2518","1352690","11/08/2012 12:00:00 +02:00","1039,35","23,093","LDME","ENT"
"9106","BAOL053X","766","L2518","1352691","12/08/2012 0:00:00 +02:00","1033,475","13,29","LDME","ENT"
"9106","BAOL053X","766","L2518","1352692","12/08/2012 12:00:00 +02:00","1030","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352693","13/08/2012 0:00:00 +02:00","1028,55","14,33","LDME","ENT"
"9106","BAOL053X","766","L2518","1352694","13/08/2012 12:00:00 +02:00","1029,225","26,4","LDME","ENT"
"9106","BAOL053X","766","L2518","1352695","14/08/2012 0:00:00 +02:00","1028,675","16,097","LDME","ENT"
"9106","BAOL053X","766","L2518","1352696","14/08/2012 12:00:00 +02:00","1028,95","28,463","LDME","ENT"
"9106","BAOL053X","766","L2518","1352697","15/08/2012 0:00:00 +02:00","1028,725","17,51","LDME","ENT"
"9106","BAOL053X","766","L2518","1352698","15/08/2012 12:00:00 +02:00","1024,3","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352699","16/08/2012 0:00:00 +02:00","1028,4","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352700","16/08/2012 12:00:00 +02:00","1034,625","24,507","LDME","ENT"
"9106","BAOL053X","766","L2518","1352701","17/08/2012 0:00:00 +02:00","1034,95","15,067","LDME","ENT"
"9106","BAOL053X","766","L2518","1352702","17/08/2012 12:00:00 +02:00","1035,275","23,527","LDME","ENT"
"9106","BAOL053X","766","L2518","1352703","18/08/2012 0:00:00 +02:00","1033,825","15,843","LDME","ENT"
"9106","BAOL053X","766","L2518","1352704","18/08/2012 12:00:00 +02:00","1032,75","27,983","LDME","ENT"
"9106","BAOL053X","766","L2518","1352705","19/08/2012 0:00:00 +02:00","1031,725","18,547","LDME","ENT"
"9106","BAOL053X","766","L2518","1352706","19/08/2012 12:00:00 +02:00","1031,45","29,377","LDME","ENT"
"9106","BAOL053X","766","L2518","1352707","20/08/2012 0:00:00 +02:00","1030,475","20,03","LDME","ENT"
"9106","BAOL053X","766","L2518","1352708","20/08/2012 12:00:00 +02:00","1035,925","27,133","LDME","ENT"
"9106","BAOL053X","766","L2518","1352709","21/08/2012 0:00:00 +02:00","1035,85","17,663","LDME","ENT"
"9106","BAOL053X","766","L2518","1352710","21/08/2012 12:00:00 +02:00","1033,225","23,963","LDME","ENT"
"9106","BAOL053X","766","L2518","1352711","22/08/2012 0:00:00 +02:00","1030,625","16,933","LDME","ENT"
"9106","BAOL053X","766","L2518","1352712","22/08/2012 12:00:00 +02:00","1034,75","21,993","LDME","ENT"
"9106","BAOL053X","766","L2518","1352713","23/08/2012 0:00:00 +02:00","1033,95","13,46","LDME","ENT"
"9106","BAOL053X","766","L2518","1352714","23/08/2012 12:00:00 +02:00","1032,75","24,14","LDME","ENT"
"9106","BAOL053X","766","L2518","1352715","24/08/2012 0:00:00 +02:00","1026,175","14,127","LDME","ENT"
"9106","BAOL053X","766","L2518","1352716","24/08/2012 12:00:00 +02:00","1023,65","21,853","LDME","ENT"
"9106","BAOL053X","766","L2518","1352717","25/08/2012 0:00:00 +02:00","1021,25","15,78","LDME","ENT"
"9106","BAOL053X","766","L2518","1352718","25/08/2012 12:00:00 +02:00","1021,575","18,54","LDME","ENT"
"9106","BAOL053X","766","L2518","1352719","26/08/2012 0:00:00 +02:00","1022,375","16,403","LDME","ENT"
"9106","BAOL053X","766","L2518","1352720","26/08/2012 12:00:00 +02:00","1027,95","15,287","LDME","ENT"
"9106","BAOL053X","766","L2518","1352721","27/08/2012 0:00:00 +02:00","1036,375","12,473","LDME","ENT"
"9106","BAOL053X","766","L2518","1352722","27/08/2012 12:00:00 +02:00","1036,7","","LDME","ENT"
"9106","BAOL053X","766","L2518","1352723","28/08/2012 0:00:00 +02:00","1030,175","13,833","LDME","ENT"
"9106","BAOL053X","766","L2518","1352724","28/08/2012 12:00:00 +02:00","1030,775","19,757","LDME","ENT"
