"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"11859","BAOL810X","1487","P2_15618","1909736","24/02/2015 13:00:00 +01:00","1024,523181","8,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909738","24/02/2015 14:00:00 +01:00","1025,2706211","8,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909740","24/02/2015 15:00:00 +01:00","1026,1414449","8,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909742","24/02/2015 16:00:00 +01:00","1027,0132884","10","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909744","24/02/2015 17:00:00 +01:00","1028,1645297","10,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909746","24/02/2015 18:00:00 +01:00","1029,0047625","7,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909748","24/02/2015 19:00:00 +01:00","1030,1865948","5,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909750","24/02/2015 20:00:00 +01:00","1031,4316485","4,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909752","24/02/2015 21:00:00 +01:00","1031,742657","3,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909754","24/02/2015 22:00:00 +01:00","1032,5522988","2,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909756","24/02/2015 23:00:00 +01:00","1032,9877107","2,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909758","25/02/2015 0:00:00 +01:00","1033,3609209","1,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909760","25/02/2015 1:00:00 +01:00","1033,9523469","","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909762","25/02/2015 2:00:00 +01:00","1034,4193695","-0,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909764","25/02/2015 3:00:00 +01:00","1034,6059746","-0,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909766","25/02/2015 4:00:00 +01:00","1034,7925797","-0,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909768","25/02/2015 5:00:00 +01:00","1034,5121622","-1,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909770","25/02/2015 6:00:00 +01:00","1034,6365656","-1,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909772","25/02/2015 7:00:00 +01:00","1034,8547814","-0,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909774","25/02/2015 8:00:00 +01:00","1034,9169831","0,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909776","25/02/2015 9:00:00 +01:00","1035,1035882","1,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909778","25/02/2015 10:00:00 +01:00","1035,3840057","3,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909780","25/02/2015 11:00:00 +01:00","1035,6644232","9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909782","25/02/2015 12:00:00 +01:00","1036,0376334","9,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909784","25/02/2015 13:00:00 +01:00","1035,7572159","7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909786","25/02/2015 14:00:00 +01:00","1035,6012018","6,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909788","25/02/2015 15:00:00 +01:00","1035,5706108","6,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909790","25/02/2015 16:00:00 +01:00","1036,0376334","6,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909792","25/02/2015 17:00:00 +01:00","1036,3792329","6,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909794","25/02/2015 18:00:00 +01:00","1036,9706589","5,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909796","25/02/2015 19:00:00 +01:00","1037,4682725","5,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909798","25/02/2015 20:00:00 +01:00","1037,8730934","5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909800","25/02/2015 21:00:00 +01:00","1038,1841019","4,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909802","25/02/2015 22:00:00 +01:00","1038,370707","3,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909804","25/02/2015 23:00:00 +01:00","1038,7133262","2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909806","26/02/2015 0:00:00 +01:00","1039,0559454","2,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909808","26/02/2015 1:00:00 +01:00","1038,8071386","2,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909810","26/02/2015 2:00:00 +01:00","1038,6205335","3,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909812","26/02/2015 3:00:00 +01:00","1038,340116","3,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909814","26/02/2015 4:00:00 +01:00","1037,9974968","3,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909816","26/02/2015 5:00:00 +01:00","1037,718099","4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909818","26/02/2015 6:00:00 +01:00","1037,8108917","4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909820","26/02/2015 7:00:00 +01:00","1037,4682725","4,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909822","26/02/2015 8:00:00 +01:00","1036,7534628","4,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909824","26/02/2015 9:00:00 +01:00","1036,1926278","5,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909826","26/02/2015 10:00:00 +01:00","1035,8816193","6,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909828","26/02/2015 11:00:00 +01:00","1035,321804","8,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909830","26/02/2015 12:00:00 +01:00","1034,6059746","9,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909832","26/02/2015 13:00:00 +01:00","1033,6413384","10,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909834","26/02/2015 14:00:00 +01:00","1032,5828898","10,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909836","26/02/2015 15:00:00 +01:00","1031,8986711","10,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909838","26/02/2015 16:00:00 +01:00","1030,8718332","9,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909840","26/02/2015 17:00:00 +01:00","1030,0938021","8,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909842","26/02/2015 18:00:00 +01:00","1029,4717851","8,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909844","26/02/2015 19:00:00 +01:00","1028,9731518","8,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909846","26/02/2015 20:00:00 +01:00","1028,4755382","8,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909848","26/02/2015 21:00:00 +01:00","1027,7280981","8,2","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909850","26/02/2015 22:00:00 +01:00","1027,541493","8,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909852","26/02/2015 23:00:00 +01:00","1028,3195241","7,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909854","27/02/2015 0:00:00 +01:00","1029,0669642","6,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909856","27/02/2015 1:00:00 +01:00","1029,7511829","5,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909858","27/02/2015 2:00:00 +01:00","1030,3731999","5,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909860","27/02/2015 3:00:00 +01:00","1030,5914157","5,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909862","27/02/2015 4:00:00 +01:00","1030,9962366","5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909864","27/02/2015 5:00:00 +01:00","1031,742657","4,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909866","27/02/2015 6:00:00 +01:00","1032,8633073","4,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909868","27/02/2015 7:00:00 +01:00","1033,8279435","4,4","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909870","27/02/2015 8:00:00 +01:00","1034,3255571","3,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909872","27/02/2015 9:00:00 +01:00","1035,1657899","4,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909874","27/02/2015 10:00:00 +01:00","1036,0060227","7,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909876","27/02/2015 11:00:00 +01:00","1036,6596504","10,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909878","27/02/2015 12:00:00 +01:00","1037,3132781","12,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909880","27/02/2015 13:00:00 +01:00","1037,718099","13,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909882","27/02/2015 14:00:00 +01:00","1038,0913092","13,9","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909884","27/02/2015 15:00:00 +01:00","1038,370707","13","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909886","27/02/2015 16:00:00 +01:00","1039,1181471","15,8","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909888","27/02/2015 17:00:00 +01:00","1039,3985646","12,5","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909890","27/02/2015 18:00:00 +01:00","1039,8961782","9,1","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909892","27/02/2015 19:00:00 +01:00","1040,6742093","6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909894","27/02/2015 20:00:00 +01:00","1041,0474195","3,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909896","27/02/2015 21:00:00 +01:00","1041,4206297","1,7","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909898","27/02/2015 22:00:00 +01:00","1041,7938399","0,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909900","27/02/2015 23:00:00 +01:00","1041,0158088","-0,6","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909902","28/02/2015 0:00:00 +01:00","1040,8292037","-1,3","LDME","ENT"
"11859","BAOL810X","1487","P2_15618","1909904","28/02/2015 1:00:00 +01:00","1040,6742093","-1,8","LDME","ENT"
