"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"3604","DYLP161A","1347","B5260","1635109","2/05/2013 12:02:51 +02:00","1367,75232569771","9,75","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635110","3/05/2013 12:02:51 +02:00","1366,81804541362","9,763","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635111","4/05/2013 12:02:51 +02:00","1369,09372811844","9,783","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635112","5/05/2013 12:02:51 +02:00","1372,41972591778","9,807","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635113","6/05/2013 12:02:51 +02:00","1368,16044813444","9,82","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635114","7/05/2013 12:02:51 +02:00","1363,5510653196","9,843","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635115","8/05/2013 12:02:51 +02:00","1358,35750725218","9,857","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635116","9/05/2013 12:02:51 +02:00","1363,72611783535","9,87","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635117","10/05/2013 12:02:51 +02:00","1363,95918775633","9,883","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635118","11/05/2013 12:02:51 +02:00","1364,13424027208","9,907","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635119","12/05/2013 12:02:51 +02:00","1365,4766429929","9,92","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635120","13/05/2013 12:02:51 +02:00","1363,72611783535","9,933","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635121","14/05/2013 12:02:51 +02:00","1358,94068220466","9,957","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635122","15/05/2013 12:02:51 +02:00","1348,55456636991","9,97","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635123","16/05/2013 12:02:51 +02:00","1348,37951385416","9,99","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635124","17/05/2013 12:02:51 +02:00","1352,23066920076","10,007","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635125","18/05/2013 12:02:51 +02:00","1358,18245473642","10,027","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635126","19/05/2013 12:02:51 +02:00","1356,60698209463","10,04","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635127","20/05/2013 12:02:51 +02:00","1356,60698209463","10,053","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635128","21/05/2013 12:02:51 +02:00","1359,69990997299","10,073","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635129","22/05/2013 12:02:51 +02:00","1365,06752025608","10,087","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635130","23/05/2013 12:02:51 +02:00","1365,06752025608","10,1","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635131","24/05/2013 12:02:51 +02:00","1361,56646994098","10,12","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635132","25/05/2013 12:02:51 +02:00","1367,22716815045","10,133","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635133","26/05/2013 12:02:51 +02:00","1365,12653796139","10,153","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635134","27/05/2013 12:02:51 +02:00","1360,45813744123","10,167","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635135","28/05/2013 12:02:51 +02:00","1350,48014404321","10,187","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635136","29/05/2013 12:02:51 +02:00","1351,47244173252","10,193","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635137","30/05/2013 12:02:51 +02:00","1357,54026207862","10,213","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635138","31/05/2013 12:02:51 +02:00","1362,79183755127","10,233","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635139","1/06/2013 12:02:51 +02:00","1367,98539561869","10,253","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635140","2/06/2013 12:02:51 +02:00","1374,28728618586","10,27","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635141","3/06/2013 12:02:51 +02:00","1378,8966690007","10,283","DRME","ENT"
"3604","DYLP161A","1347","B5260","1635142","4/06/2013 12:02:51 +02:00","1373,76212863859","10,297","DRME","ENT"
