"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"10861","DYLS102X","1173","K4967","1830523","9/10/2013 12:00:00 +02:00","1086,02018213143","12,053","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830524","10/10/2013 0:00:00 +02:00","1078,08319776528","12,17","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830525","10/10/2013 12:00:00 +02:00","1079,24978339126","11,873","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830526","11/10/2013 0:00:00 +02:00","1081,58495564774","11,833","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830527","11/10/2013 12:00:00 +02:00","1089,05470546214","11,563","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830528","12/10/2013 0:00:00 +02:00","1089,40531509946","11,493","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830529","12/10/2013 12:00:00 +02:00","1094,07415929292","10,927","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830530","13/10/2013 0:00:00 +02:00","1090,33868378009","10,903","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830531","13/10/2013 12:00:00 +02:00","1087,77166980957","10,61","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830532","14/10/2013 0:00:00 +02:00","1091,16935080524","10,477","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830533","14/10/2013 12:00:00 +02:00","1092,80284085226","10,387","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830534","15/10/2013 0:00:00 +02:00","1091,03896038935","10,603","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830535","15/10/2013 12:00:00 +02:00","1091,97332946514","10,597","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830536","16/10/2013 0:00:00 +02:00","1093,8400668264","10,95","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830537","16/10/2013 12:00:00 +02:00","1097,57554233922","10,913","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830538","17/10/2013 0:00:00 +02:00","1094,30725136429","11,173","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830539","17/10/2013 12:00:00 +02:00","1096,64117326344","11,163","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830540","18/10/2013 0:00:00 +02:00","1100,260330686","11,607","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830541","18/10/2013 12:00:00 +02:00","1100,72756523775","11,63","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830542","19/10/2013 0:00:00 +02:00","1095,82510420231","12,143","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830543","19/10/2013 12:00:00 +02:00","1089,98917456563","11,57","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830544","20/10/2013 0:00:00 +02:00","1091,85611176811","11,953","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830545","20/10/2013 12:00:00 +02:00","1092,09022929511","11,747","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830546","21/10/2013 0:00:00 +02:00","1093,49093244809","12,08","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830547","21/10/2013 12:00:00 +02:00","1094,19128402458","11,99","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830548","22/10/2013 0:00:00 +02:00","1090,92264316687","12,34","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830549","22/10/2013 12:00:00 +02:00","1084,85259600319","12,147","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830550","23/10/2013 0:00:00 +02:00","1082,41634538317","12,563","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830551","23/10/2013 12:00:00 +02:00","1086,15167249196","12,713","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830552","24/10/2013 0:00:00 +02:00","1096,19092694749","12,93","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830553","24/10/2013 12:00:00 +02:00","1102,36138541548","12,493","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830554","25/10/2013 0:00:00 +02:00","1099,92725467967","12,53","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830555","25/10/2013 12:00:00 +02:00","1093,72404947284","12,23","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830556","26/10/2013 0:00:00 +02:00","1095,957781698","12,52","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830557","26/10/2013 12:00:00 +02:00","1097,59179969121","12,653","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830558","27/10/2013 0:00:00 +02:00","1094,08961783191","12,947","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830559","27/10/2013 12:00:00 +02:00","1089,18656322889","12,967","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830560","28/10/2013 0:00:00 +02:00","1077,97958127914","12,887","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830561","28/10/2013 12:00:00 +02:00","1070,68403615452","12,793","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830562","29/10/2013 0:00:00 +02:00","1081,24861788894","12,843","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830563","29/10/2013 12:00:00 +02:00","1088,58847141265","12,223","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830564","30/10/2013 0:00:00 +02:00","1093,95716649758","11,997","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830565","30/10/2013 12:00:00 +02:00","1101,54310952826","11,27","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830566","31/10/2013 0:00:00 +02:00","1102,47747860405","11,02","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830567","31/10/2013 12:00:00 +02:00","1099,80494148244","10,233","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830568","1/11/2013 0:00:00 +02:00","1091,40242072622","10,283","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830569","1/11/2013 12:00:00 +02:00","1086,26788036411","10,227","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830570","2/11/2013 0:00:00 +02:00","1075,76472941883","10,43","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830571","2/11/2013 12:00:00 +02:00","1076,6399919976","10,48","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830572","3/11/2013 0:00:00 +02:00","1077,20849735646","10,847","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830573","3/11/2013 12:00:00 +02:00","1082,40254900686","10,67","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830574","4/11/2013 0:00:00 +02:00","1079,4988496549","10,47","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830575","4/11/2013 12:00:00 +02:00","1067,30319095729","10,387","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830576","5/11/2013 0:00:00 +02:00","1084,16725017505","10,393","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830577","5/11/2013 12:00:00 +02:00","1082,066619986","9,87","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830578","6/11/2013 0:00:00 +02:00","1086,96809042713","9,667","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830579","6/11/2013 12:00:00 +02:00","1093,18140672807","9,453","DRME","ENT"
"10861","DYLS102X","1173","K4967","1830580","7/11/2013 0:00:00 +02:00","1097,00410123037","9,917","DRME","ENT"
