"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720821","3/10/2013 12:00:00 +02:00","1033,475","18,927","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720822","4/10/2013 0:00:00 +02:00","1032,25","11,42","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720823","4/10/2013 12:00:00 +02:00","1032,875","22,17","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720824","5/10/2013 0:00:00 +02:00","1032,65","11,88","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720825","5/10/2013 12:00:00 +02:00","1035,625","17,73","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720826","6/10/2013 0:00:00 +02:00","1041","8,067","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720827","6/10/2013 12:00:00 +02:00","1044,05","21,143","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720828","7/10/2013 0:00:00 +02:00","1044,575","7,493","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720829","7/10/2013 12:00:00 +02:00","1045,425","17,173","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720830","8/10/2013 0:00:00 +02:00","1044,575","7,42","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720831","8/10/2013 12:00:00 +02:00","1044,175","16,023","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720832","9/10/2013 0:00:00 +02:00","1041,25","12,1","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720833","9/10/2013 12:00:00 +02:00","1036,75","15,017","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720834","10/10/2013 0:00:00 +02:00","1026,825","11,077","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720835","10/10/2013 12:00:00 +02:00","1027,175","8,483","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720836","11/10/2013 0:00:00 +02:00","1028,15","4,45","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720837","11/10/2013 12:00:00 +02:00","1034,45","9,017","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720838","12/10/2013 0:00:00 +02:00","1034,6","6,443","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720839","12/10/2013 12:00:00 +02:00","1039,3","8,913","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720840","13/10/2013 0:00:00 +02:00","1033,225","7,363","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720841","13/10/2013 12:00:00 +02:00","1032,4","9,337","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720842","14/10/2013 0:00:00 +02:00","1032,025","8,343","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720843","14/10/2013 12:00:00 +02:00","1032,3","13,443","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720844","15/10/2013 0:00:00 +02:00","1026,4","9,893","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720845","15/10/2013 12:00:00 +02:00","1026","12,65","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720846","16/10/2013 0:00:00 +02:00","1027,725","9,477","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720847","16/10/2013 12:00:00 +02:00","1033,475","15,71","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720848","17/10/2013 0:00:00 +02:00","1028,55","10,057","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720849","17/10/2013 12:00:00 +02:00","1031,525","15,79","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720850","18/10/2013 0:00:00 +02:00","1035,15","4,97","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720851","18/10/2013 12:00:00 +02:00","1037,525","16,513","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720852","19/10/2013 0:00:00 +02:00","1032,85","7,953","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720853","19/10/2013 12:00:00 +02:00","1028,35","15,27","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720854","20/10/2013 0:00:00 +02:00","1027,8","13,343","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720855","20/10/2013 12:00:00 +02:00","1030,35","16,98","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720856","21/10/2013 0:00:00 +02:00","1029,525","13,077","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720857","21/10/2013 12:00:00 +02:00","1031,7","19,173","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720858","22/10/2013 0:00:00 +02:00","1028,15","12,83","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720859","22/10/2013 12:00:00 +02:00","1023,675","22,2","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720860","23/10/2013 0:00:00 +02:00","1019,15","14,433","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720861","23/10/2013 12:00:00 +02:00","1020,75","20,07","LDME","ENT"
"BAO","Baro's","24","BAOL005X","1146","B5551","2720862","24/10/2013 0:00:00 +02:00","1029,175","10,93","LDME","ENT"
