"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","11282","BAOL079X","1155","177936","501211","","1007,17","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501212","","1007,76","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501213","","1008,38","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501214","","1009,97","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501215","","1015,01","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501216","","1011,87","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501217","","1009,08","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501218","","1015,1","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501219","","1015,02","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501220","","1011,27","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501221","","1010,05","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501222","","1007,67","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501223","","1004,52","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501224","","1005,43","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501225","","1010,12","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501226","","1013,87","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501227","","1017,07","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501228","","1015,54","","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1155","177936","501229","","1006,35","","LDME","ENT"
