"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025828","13/02/2018 15:33:56 +01:00","1026,98","14","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025829","13/02/2018 16:00:01 +01:00","1026,6","10,4","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025830","13/02/2018 17:00:01 +01:00","1026,64","8,21","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025831","13/02/2018 18:00:01 +01:00","1026,88","6,11","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025832","13/02/2018 19:00:01 +01:00","1027,11","4","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025833","13/02/2018 20:00:01 +01:00","1027,56","2,32","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025834","13/02/2018 21:00:01 +01:00","1027,86","1,49","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025835","13/02/2018 22:00:01 +01:00","1028,15","0,71","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025836","13/02/2018 23:00:01 +01:00","1028,26","0,15","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025837","14/02/2018 0:00:01 +01:00","1028,5","-0,53","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025838","14/02/2018 1:00:01 +01:00","1028,87","-0,9","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025839","14/02/2018 2:00:01 +01:00","1029,02","-1,16","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025840","14/02/2018 3:00:01 +01:00","1029,37","-1,54","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025841","14/02/2018 4:00:01 +01:00","1029,87","-1,87","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025842","14/02/2018 5:00:01 +01:00","1029,93","-2,14","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025843","14/02/2018 6:00:01 +01:00","1030,39","-2,18","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025844","14/02/2018 7:00:01 +01:00","1030,74","-2,15","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025845","14/02/2018 8:00:01 +01:00","1031,3","-2,32","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025846","14/02/2018 9:00:01 +01:00","1031,58","-1,65","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025847","14/02/2018 10:00:01 +01:00","1032,12","1,04","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025848","14/02/2018 11:00:01 +01:00","1032,27","4,97","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025849","14/02/2018 12:00:01 +01:00","1032,45","7,63","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025850","14/02/2018 13:00:01 +01:00","1032,43","9,2","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025851","14/02/2018 14:00:01 +01:00","1032,28","9,96","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025852","14/02/2018 15:00:01 +01:00","1031,84","10,19","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025853","14/02/2018 16:00:01 +01:00","1031,63","9,97","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025854","14/02/2018 17:00:01 +01:00","1031,89","7,94","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025855","14/02/2018 18:00:01 +01:00","1031,29","6,14","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025856","14/02/2018 19:00:01 +01:00","1031,06","5,2","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025857","14/02/2018 20:00:01 +01:00","1030,58","4,74","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025858","14/02/2018 21:00:01 +01:00","1030,06","4,49","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025859","14/02/2018 22:00:01 +01:00","1029,19","4,27","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025860","14/02/2018 23:00:01 +01:00","1028,73","4,21","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025861","15/02/2018 0:00:01 +01:00","1028,31","4,4","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025862","15/02/2018 1:00:01 +01:00","1027,65","3,91","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025863","15/02/2018 2:00:01 +01:00","1026,99","2,98","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025864","15/02/2018 3:00:01 +01:00","1026,64","2,25","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025865","15/02/2018 4:00:01 +01:00","1025,9","2,21","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025866","15/02/2018 5:00:01 +01:00","1025,68","2,3","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025867","15/02/2018 6:00:01 +01:00","1025,54","2,47","LDME","ENT"
"BAO","Baro's","14185","BAOL512X","2533","B_00603","11025868","15/02/2018 7:00:01 +01:00","1025,69","2,72","LDME","ENT"
