"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802914","13/09/2019 10:53:49 +00:00","1050,593","27,5","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802956","13/09/2019 11:00:01 +00:00","1048,911","27,67","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802931","13/09/2019 12:00:01 +00:00","1049,145","25,27","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802871","13/09/2019 13:00:01 +00:00","1049,4","27,75","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802869","13/09/2019 14:00:01 +00:00","1049,013","29,84","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802808","13/09/2019 15:00:01 +00:00","1049,268","30,26","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802907","13/09/2019 16:00:01 +00:00","1048,972","28,2","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802818","13/09/2019 17:00:01 +00:00","1049,339","23,84","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802804","13/09/2019 22:00:01 +00:00","1050,797","11,56","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802827","13/09/2019 20:00:01 +00:00","1050,614","14,05","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802828","13/09/2019 19:00:01 +00:00","1050,379","17,31","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802837","13/09/2019 18:00:01 +00:00","1049,706","20,76","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802840","13/09/2019 23:00:01 +00:00","1050,634","8,75","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802844","13/09/2019 21:00:01 +00:00","1051,032","12,47","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802857","14/09/2019 4:00:01 +00:00","1050,032","3,36","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802878","14/09/2019 5:00:01 +00:00","1049,482","2,34","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802887","14/09/2019 9:00:01 +00:00","1050,797","19,26","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802892","14/09/2019 8:00:01 +00:00","1050,675","10,05","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802910","14/09/2019 6:00:01 +00:00","1049,798","2,05","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802913","14/09/2019 7:00:01 +00:00","1050,073","5,3","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802916","14/09/2019 1:00:01 +00:00","1050,542","7,71","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802922","14/09/2019 3:00:01 +00:00","1050,175","4,69","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802942","14/09/2019 0:00:01 +00:00","1050,797","6,69","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802949","14/09/2019 2:00:01 +00:00","1050,124","6,57","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802794","14/09/2019 15:00:01 +00:00","1046,147","35,35","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802799","15/09/2019 15:00:01 +00:00","1038,703","36,29","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802800","14/09/2019 22:00:01 +00:00","1043,353","3,77","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802811","15/09/2019 17:00:01 +00:00","1038,03","26,04","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802815","14/09/2019 17:00:01 +00:00","1045,23","25,43","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802823","14/09/2019 18:00:01 +00:00","1045,107","18,67","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802831","14/09/2019 20:00:01 +00:00","1044,903","8,68","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802832","14/09/2019 19:00:01 +00:00","1045,25","12,7","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802838","14/09/2019 21:00:01 +00:00","1044,302","5,84","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802842","14/09/2019 23:00:01 +00:00","1042,578","2,35","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802856","14/09/2019 14:00:01 +00:00","1047,167","37,21","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802861","15/09/2019 14:00:01 +00:00","1039,142","38,57","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802862","15/09/2019 4:00:01 +00:00","1040,631","-0,71","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802874","15/09/2019 13:00:01 +00:00","1039,468","38,23","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802875","15/09/2019 5:00:01 +00:00","1040,478","-0,89","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802877","14/09/2019 13:00:01 +00:00","1048,105","37,22","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802885","15/09/2019 8:00:01 +00:00","1041,191","8,84","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802886","14/09/2019 10:00:01 +00:00","1050,226","28,02","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802890","15/09/2019 10:00:01 +00:00","1041,426","28,41","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802891","15/09/2019 9:00:01 +00:00","1041,926","19,36","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802908","14/09/2019 16:00:01 +00:00","1045,444","31,55","LDME","ENT"
"BAO","Baro's","14218","BAOL545X","2989","B_006DC","10802909","15/09/2019 16:00:01 +00:00","1037,99","33,35","LDME","ENT"
