"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313599","16/02/2018 12:00:01 +00:00","1051,58","14,92","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313598","17/02/2018 12:00:01 +00:00","1049,77","9,85","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313597","18/02/2018 12:00:01 +00:00","1042,86","8,4","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313596","19/02/2018 12:00:01 +00:00","1048,51","4,46","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313593","22/02/2018 12:00:01 +00:00","1039,93","10,33","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313594","21/02/2018 12:00:01 +00:00","1041,94","11,13","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313595","20/02/2018 12:00:01 +00:00","1036,28","7,51","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313708","23/02/2018 12:00:01 +00:00","1037,69","8,6","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313718","25/02/2018 12:00:01 +00:00","1044,94","7,26","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313719","24/02/2018 12:00:01 +00:00","1039,62","8,88","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313715","28/02/2018 12:00:01 +00:00","1035,55","3,22","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313716","27/02/2018 12:00:01 +00:00","1038,1","6,38","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313717","26/02/2018 12:00:01 +00:00","1045,29","4,57","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313721","1/03/2018 12:00:01 +00:00","1019,96","1,41","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313813","7/03/2018 12:00:01 +00:00","1010,24","10,39","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313814","6/03/2018 12:00:01 +00:00","1007,26","12,73","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313815","5/03/2018 12:00:01 +00:00","1010,65","14,72","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313816","4/03/2018 12:00:01 +00:00","1010,56","19,86","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313817","3/03/2018 12:00:01 +00:00","1011,46","6,18","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313818","2/03/2018 12:00:01 +00:00","1011,43","-1,3","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9313824","8/03/2018 12:00:01 +00:00","1014,81","6,08","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314020","11/03/2018 12:00:01 +00:00","1010,06","15,79","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314021","10/03/2018 12:00:01 +00:00","1016,18","16,37","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314022","9/03/2018 12:00:01 +00:00","1023,03","15,78","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314016","15/03/2018 12:00:01 +00:00","990,62","10,33","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314017","14/03/2018 12:00:01 +00:00","1030,93","19,61","LDME","ENT"
"BAO","Baro's","14222","BAOL549X","2571","B_005F8","9314018","13/03/2018 12:00:01 +00:00","1018,33","6,07","LDME","ENT"
