"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700862","19/07/2017 12:00:00 +02:00","1025,4256155","27,3","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700864","19/07/2017 18:00:00 +02:00","1023,9633657","30,9","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700866","20/07/2017 0:00:00 +02:00","1025,2706211","19,4","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700868","20/07/2017 6:00:00 +02:00","1024,3681866","17,3","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700870","20/07/2017 12:00:00 +02:00","1024,7719878","22,5","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700872","20/07/2017 18:00:00 +02:00","1026,4524534","20,8","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700874","21/07/2017 0:00:00 +02:00","1030,529214","14,1","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700876","21/07/2017 6:00:00 +02:00","1030,9024242","9,3","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700878","21/07/2017 12:00:00 +02:00","1031,1828417","30,7","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700880","21/07/2017 18:00:00 +02:00","1027,510902","29,1","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700882","22/07/2017 0:00:00 +02:00","1026,2036466","17,7","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700884","22/07/2017 6:00:00 +02:00","1026,4524534","12,7","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700886","22/07/2017 12:00:00 +02:00","1027,8535212","27,5","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700888","22/07/2017 18:00:00 +02:00","1028,5693506","21,3","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700890","23/07/2017 0:00:00 +02:00","1028,7559557","15,2","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700892","23/07/2017 6:00:00 +02:00","1028,693754","11,7","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700894","23/07/2017 12:00:00 +02:00","1029,6889812","16,6","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700896","23/07/2017 18:00:00 +02:00","1029,0669642","16,1","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700898","24/07/2017 0:00:00 +02:00","1028,3195241","13,8","LDME","ENT"
"BAO","Baro's","13635","BAOL838X","2095","P2_17222","6700900","24/07/2017 6:00:00 +02:00","1026,1730556","12,8","LDME","ENT"
