"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","2518","BAOL009X","81","78680","3771649","5/01/2017 12:00:00 +01:00","1050,52","10,11","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771650","6/01/2017 0:00:00 +01:00","1061,92","-7,09","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771651","6/01/2017 12:00:00 +01:00","1061,26","3,757","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771652","7/01/2017 0:00:00 +01:00","1058,92","-3,517","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771653","7/01/2017 12:00:00 +01:00","1053,6","-1,87","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771654","8/01/2017 0:00:00 +01:00","1052,02","-0,017","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771655","8/01/2017 12:00:00 +01:00","1052,82","2,763","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771656","9/01/2017 0:00:00 +01:00","1051,42","1,59","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771657","9/01/2017 12:00:00 +01:00","1044","7,457","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771658","10/01/2017 0:00:00 +01:00","1029,32","4,79","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771659","10/01/2017 12:00:00 +01:00","1028,86","5,903","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771660","11/01/2017 0:00:00 +01:00","1032,5","4,73","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771661","11/01/2017 12:00:00 +01:00","1025,62","6,783","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771662","12/01/2017 0:00:00 +01:00","1032,12","3,75","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771663","12/01/2017 12:00:00 +01:00","1029,4","7,943","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771664","13/01/2017 0:00:00 +01:00","998,92","3,8","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771665","13/01/2017 12:00:00 +01:00","1022,82","9,783","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771666","14/01/2017 0:00:00 +01:00","1028,42","2,523","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771667","14/01/2017 12:00:00 +01:00","1034,26","7,47","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771668","15/01/2017 0:00:00 +01:00","1038,6","0,277","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771669","15/01/2017 12:00:00 +01:00","1041,7","2,77","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771670","16/01/2017 0:00:00 +01:00","1043,36","1,623","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771671","16/01/2017 12:00:00 +01:00","1046,62","3,877","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771672","17/01/2017 0:00:00 +01:00","1053,4","-2,517","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771673","17/01/2017 12:00:00 +01:00","1056,82","3,917","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771674","18/01/2017 0:00:00 +01:00","1060,06","-6,47","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771675","18/01/2017 12:00:00 +01:00","1058","4,957","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771676","19/01/2017 0:00:00 +01:00","1058,5","-5,783","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771677","19/01/2017 12:00:00 +01:00","1055,76","8,483","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771678","20/01/2017 0:00:00 +01:00","1057,1","-6,43","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771679","20/01/2017 12:00:00 +01:00","1052,96","10,277","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771680","21/01/2017 0:00:00 +01:00","1053,22","-5,877","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771681","21/01/2017 12:00:00 +01:00","1047,8","11,383","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771682","22/01/2017 0:00:00 +01:00","1050","-7,91","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771683","22/01/2017 12:00:00 +01:00","1047,26","8,53","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771684","23/01/2017 0:00:00 +01:00","1049,3","-4,763","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771685","23/01/2017 12:00:00 +01:00","1048,52","2,23","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771686","24/01/2017 0:00:00 +01:00","1047,12","0,243","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771687","24/01/2017 12:00:00 +01:00","1049","2,257","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771688","25/01/2017 0:00:00 +01:00","1050,9","0,13","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771689","25/01/2017 12:00:00 +01:00","1050,4","0,31","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771690","26/01/2017 0:00:00 +01:00","1048,82","-7,143","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771691","26/01/2017 12:00:00 +01:00","1043,36","2,497","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771692","27/01/2017 0:00:00 +01:00","1040,36","-7,537","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771693","27/01/2017 12:00:00 +01:00","1035,76","4,683","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771694","28/01/2017 0:00:00 +01:00","1035,6","1,403","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771695","28/01/2017 12:00:00 +01:00","1034,06","9,55","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771696","29/01/2017 0:00:00 +01:00","1037,5","4,13","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771697","29/01/2017 12:00:00 +01:00","1037,9","6,09","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771698","30/01/2017 0:00:00 +01:00","1033,56","4,123","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771699","30/01/2017 12:00:00 +01:00","1029,48","7,227","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","3771700","31/01/2017 0:00:00 +01:00","1033,42","3,677","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831841","31/01/2017 12:00:00 +01:00","1036,22","3,27","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831842","1/02/2017 0:00:00 +01:00","1036,22","1,783","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831843","1/02/2017 12:00:00 +01:00","1032,16","8,197","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831844","2/02/2017 0:00:00 +01:00","1028,16","8,007","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831845","2/02/2017 12:00:00 +01:00","1023,72","13,423","LDME","ENT"
"BAO","Baro's","2518","BAOL009X","81","78680","6831846","3/02/2017 0:00:00 +01:00","1020,3","11,25","LDME","ENT"
