"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969353","8/11/2012 20:00:00 +01:00","1033,6","8,77","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969357","9/11/2012 12:00:00 +01:00","1031,275","10,623","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969363","10/11/2012 12:00:00 +01:00","1015,7","13,22","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969369","11/11/2012 12:00:00 +01:00","1026,525","23,397","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969375","12/11/2012 12:00:00 +01:00","1041,5","11,263","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969381","13/11/2012 12:00:00 +01:00","1047,25","8,963","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969387","14/11/2012 12:00:00 +01:00","1044","22,06","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969393","15/11/2012 12:00:00 +01:00","1041","6,8","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969399","16/11/2012 12:00:00 +01:00","1035,15","5,813","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969405","17/11/2012 12:00:00 +01:00","1026,475","7,743","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969411","18/11/2012 12:00:00 +01:00","1030,225","8,303","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969417","19/11/2012 12:00:00 +01:00","1032,075","6,877","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969423","20/11/2012 12:00:00 +01:00","1032,325","18,85","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969429","21/11/2012 12:00:00 +01:00","1026,95","8,247","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969435","22/11/2012 12:00:00 +01:00","1036,925","17,37","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969441","23/11/2012 12:00:00 +01:00","1030,575","7,933","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969447","24/11/2012 12:00:00 +01:00","1033,475","9,083","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969453","25/11/2012 12:00:00 +01:00","1024,75","11,39","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969459","26/11/2012 12:00:00 +01:00","1019,625","11,31","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969465","27/11/2012 12:00:00 +01:00","1019,65","8,39","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969471","28/11/2012 12:00:00 +01:00","1023,525","5,73","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969477","29/11/2012 12:00:00 +01:00","1021,85","13,433","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969483","30/11/2012 12:00:00 +01:00","1025,625","15,13","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969489","1/12/2012 12:00:00 +01:00","1030,025","3,177","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969495","2/12/2012 12:00:00 +01:00","1027,8","8,963","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969501","3/12/2012 12:00:00 +01:00","1024,4","0,493","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969507","4/12/2012 12:00:00 +01:00","1015,2","5,247","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969513","5/12/2012 12:00:00 +01:00","1019,975","6,133","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969519","6/12/2012 12:00:00 +01:00","1032,8","4,763","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969525","7/12/2012 12:00:00 +01:00","1013,8","0,113","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969531","8/12/2012 12:00:00 +01:00","1039,325","11,53","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969537","9/12/2012 12:00:00 +01:00","1030,375","3,43","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969543","10/12/2012 12:00:00 +01:00","1028,65","3,6","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969549","11/12/2012 12:00:00 +01:00","1043,425","13,86","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969555","12/12/2012 12:00:00 +01:00","1038,25","7,103","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969561","13/12/2012 12:00:00 +01:00","1025,775","-0,393","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969567","14/12/2012 12:00:00 +01:00","1013,975","5,02","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969573","15/12/2012 12:00:00 +01:00","1015,375","9,737","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969579","16/12/2012 12:00:00 +01:00","1019,775","8,267","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969585","17/12/2012 12:00:00 +01:00","1018,775","7,63","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969591","18/12/2012 12:00:00 +01:00","1029,025","6,29","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969597","19/12/2012 12:00:00 +01:00","1039,275","6,593","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969603","20/12/2012 12:00:00 +01:00","1027,8","3,36","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969609","21/12/2012 12:00:00 +01:00","1026,475","9","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969615","22/12/2012 12:00:00 +01:00","1030,025","7,617","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969621","23/12/2012 12:00:00 +01:00","1021,525","13,003","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969627","24/12/2012 12:00:00 +01:00","1021,35","12,13","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969633","25/12/2012 12:00:00 +01:00","1015,875","8,737","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969639","26/12/2012 12:00:00 +01:00","1025,45","7,827","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969645","27/12/2012 12:00:00 +01:00","1017,425","8,013","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969651","28/12/2012 12:00:00 +01:00","1040,25","8,29","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969657","29/12/2012 12:00:00 +01:00","1028,7","13,307","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969663","30/12/2012 12:00:00 +01:00","1029,5","9,607","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969669","31/12/2012 12:00:00 +01:00","1028,525","9,493","LDME","ENT"
"BAO","Baro's","12455","BAOL013A","768","L2546","2969675","1/01/2013 12:00:00 +01:00","1019,625","7,77","LDME","ENT"
