"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738728","5/06/2019 12:00:00 +02:00","993,017","17,403","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738887","6/06/2019 0:00:00 +02:00","989,05","12,787","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738871","6/06/2019 12:00:00 +02:00","996,4","22,49","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738911","7/06/2019 0:00:00 +02:00","998,617","10,683","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738846","7/06/2019 12:00:00 +02:00","989,983","26,52","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738865","8/06/2019 0:00:00 +02:00","989,925","13,753","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738760","8/06/2019 12:00:00 +02:00","999,083","16,647","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738738","9/06/2019 0:00:00 +02:00","1005,967","10,803","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738885","9/06/2019 12:00:00 +02:00","1006,842","25,087","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738864","10/06/2019 0:00:00 +02:00","1001,825","13,417","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738725","13/06/2019 0:00:00 +02:00","992,9","10,923","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738781","19/06/2019 0:00:00 +02:00","992,492","17,647","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738800","11/06/2019 12:00:00 +02:00","995,642","22,603","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738804","20/06/2019 0:00:00 +02:00","990,858","16,773","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738806","14/06/2019 12:00:00 +02:00","997,392","21,443","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738819","11/06/2019 0:00:00 +02:00","994,125","14,497","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738833","12/06/2019 12:00:00 +02:00","991,85","15,113","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738859","14/06/2019 0:00:00 +02:00","996,692","12,793","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738862","18/06/2019 12:00:00 +02:00","997,042","27,553","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738868","16/06/2019 0:00:00 +02:00","999,667","12,653","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738878","10/06/2019 12:00:00 +02:00","995,058","26,45","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738883","18/06/2019 0:00:00 +02:00","999,608","13,847","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738889","12/06/2019 0:00:00 +02:00","994,592","14,93","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738897","16/06/2019 12:00:00 +02:00","1003,167","20,863","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738907","19/06/2019 12:00:00 +02:00","990,392","24,663","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738908","13/06/2019 12:00:00 +02:00","994,3","20,5","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738918","15/06/2019 0:00:00 +02:00","995,7","16,38","LDME","ENT"
"BAO","Baro's","5372","BAOL016X","1858","W1666","10738920","17/06/2019 0:00:00 +02:00","1004,217","12,323","LDME","ENT"
