"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","6820","BAOL023X","767","L2520","394795","9/11/2012 12:00:00 +01:00","1029,8","10,3","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394796","10/11/2012 0:00:00 +01:00","1020,5","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394797","10/11/2012 12:00:00 +01:00","1014,1","11,34","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394798","11/11/2012 0:00:00 +01:00","1014,9","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394799","11/11/2012 12:00:00 +01:00","1025,9","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394800","12/11/2012 0:00:00 +01:00","1034,9","5,46","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394801","12/11/2012 12:00:00 +01:00","1039,8","8,76","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394802","13/11/2012 0:00:00 +01:00","1042,1","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394803","13/11/2012 12:00:00 +01:00","1045,5","8,72","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394804","14/11/2012 0:00:00 +01:00","1044,7","6,9","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394805","14/11/2012 12:00:00 +01:00","1042,7","7,6","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394806","15/11/2012 0:00:00 +01:00","1039,4","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394807","15/11/2012 12:00:00 +01:00","1038,9","6,36","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394808","16/11/2012 0:00:00 +01:00","1034,9","5,18","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394809","16/11/2012 12:00:00 +01:00","1033,2","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394810","17/11/2012 0:00:00 +01:00","1027,4","1,94","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394811","17/11/2012 12:00:00 +01:00","1024,5","7,62","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394812","18/11/2012 0:00:00 +01:00","1023,9","7,51","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394813","18/11/2012 12:00:00 +01:00","1028","8,4","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394814","19/11/2012 0:00:00 +01:00","1031,5","2,61","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394815","19/11/2012 12:00:00 +01:00","1029,8","8,18","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394816","20/11/2012 0:00:00 +01:00","1030,5","3,57","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394817","20/11/2012 12:00:00 +01:00","1031,5","8,9","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394818","21/11/2012 0:00:00 +01:00","1029,8","2,99","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394819","21/11/2012 12:00:00 +01:00","1025,9","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394820","22/11/2012 0:00:00 +01:00","1033,2","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394821","22/11/2012 12:00:00 +01:00","1036,4","8,28","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394822","23/11/2012 0:00:00 +01:00","1031,5","3,84","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394823","23/11/2012 12:00:00 +01:00","1028,8","7,94","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394824","24/11/2012 0:00:00 +01:00","1031,5","7,26","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394825","24/11/2012 12:00:00 +01:00","1031,2","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394826","25/11/2012 0:00:00 +01:00","1020,7","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394827","25/11/2012 12:00:00 +01:00","1024,2","10,24","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394828","26/11/2012 0:00:00 +01:00","1024,7","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394829","26/11/2012 12:00:00 +01:00","1018","7,87","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394830","27/11/2012 0:00:00 +01:00","1015,8","7,73","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394831","27/11/2012 12:00:00 +01:00","1018,1","8,54","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394832","28/11/2012 0:00:00 +01:00","1020","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394833","28/11/2012 12:00:00 +01:00","1021,3","6,85","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394834","29/11/2012 0:00:00 +01:00","1019,6","","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394835","29/11/2012 12:00:00 +01:00","1020,2","6,71","LDME","ENT"
"BAO","Baro's","6820","BAOL023X","767","L2520","394836","30/11/2012 0:00:00 +01:00","1021","3,06","LDME","ENT"
