"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011691","10/02/2017 12:00:00 +01:00","1035,8","0,877","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011692","11/02/2017 0:00:00 +01:00","1034,7","0,597","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011693","11/02/2017 12:00:00 +01:00","1034,475","1,693","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011694","12/02/2017 0:00:00 +01:00","1033,95","1,18","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011695","12/02/2017 12:00:00 +01:00","1038,15","4,23","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011696","13/02/2017 0:00:00 +01:00","1040,375","2,443","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011697","13/02/2017 12:00:00 +01:00","1040,325","11,287","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011698","14/02/2017 0:00:00 +01:00","1039,05","0,37","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011699","14/02/2017 12:00:00 +01:00","1042,725","16,537","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011700","15/02/2017 0:00:00 +01:00","1045,45","0,72","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011701","15/02/2017 12:00:00 +01:00","1046,9","16,387","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011702","16/02/2017 0:00:00 +01:00","1046,85","5,333","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011703","16/02/2017 12:00:00 +01:00","1045,075","11,93","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011704","17/02/2017 0:00:00 +01:00","1042,825","5,553","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011705","17/02/2017 12:00:00 +01:00","1041,975","8,513","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011706","18/02/2017 0:00:00 +01:00","1043","4,873","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011707","18/02/2017 12:00:00 +01:00","1042,175","12,053","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011708","19/02/2017 0:00:00 +01:00","1039,8","0,08","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011709","19/02/2017 12:00:00 +01:00","1036,675","9,787","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011710","20/02/2017 0:00:00 +01:00","1036,675","7,263","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011711","20/02/2017 12:00:00 +01:00","1033,475","9,16","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011712","21/02/2017 0:00:00 +01:00","1030,625","10,327","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011713","21/02/2017 12:00:00 +01:00","1031,775","11,573","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011714","22/02/2017 0:00:00 +01:00","1027,6","9,723","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011715","22/02/2017 12:00:00 +01:00","1024,4","9,853","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011716","23/02/2017 0:00:00 +01:00","1021,4","9,537","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011717","23/02/2017 12:00:00 +01:00","1011,15","8,857","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011718","24/02/2017 0:00:00 +01:00","1016,225","5,247","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011719","24/02/2017 12:00:00 +01:00","1028,9","9,813","LDME","ENT"
"BAO","Baro's","9333","BAOL031X","164","B5554","7011720","25/02/2017 0:00:00 +01:00","1035,825","0,76","LDME","ENT"
