"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031360","1/04/2009 12:00:00 +02:00","1040,9","18,66","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031384","2/04/2009 12:00:00 +02:00","1035,8","15,99","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031408","3/04/2009 12:00:00 +02:00","1033,5","17,89","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031432","4/04/2009 12:00:00 +02:00","1038,5","12,07","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031456","5/04/2009 12:00:00 +02:00","1042,5","15,5","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031480","6/04/2009 12:00:00 +02:00","1031,5","14,15","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031504","7/04/2009 12:00:00 +02:00","1028,9","12,74","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031528","8/04/2009 12:00:00 +02:00","1028,7","10,49","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031552","9/04/2009 12:00:00 +02:00","1033,1","13,64","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031576","10/04/2009 12:00:00 +02:00","1023,8","19,75","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031600","11/04/2009 12:00:00 +02:00","1026,3","20,84","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031624","12/04/2009 12:00:00 +02:00","1028,9","17,25","LDME","ENT"
"BAO","Baro's","9592","BAOL033X","331","C6550","7031648","13/04/2009 12:00:00 +02:00","1029,7","16,1","LDME","ENT"
