"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","3812","BAOL071X","483","H4445","171460","16/02/2012 0:00:00 +02:00","1041,35","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171461","16/02/2012 12:00:00 +02:00","1041,175","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171462","17/02/2012 0:00:00 +02:00","1040,025","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171463","17/02/2012 12:00:00 +02:00","1039,15","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171464","18/02/2012 0:00:00 +02:00","1035,7","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171465","18/02/2012 12:00:00 +02:00","1030,725","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171466","19/02/2012 0:00:00 +02:00","1025,05","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171467","19/02/2012 12:00:00 +02:00","1035,375","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171468","20/02/2012 0:00:00 +02:00","1046,45","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171469","20/02/2012 12:00:00 +02:00","1051,15","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171470","21/02/2012 0:00:00 +02:00","1047,65","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171471","21/02/2012 12:00:00 +02:00","1046,95","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171472","22/02/2012 0:00:00 +02:00","1047,175","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171473","22/02/2012 12:00:00 +02:00","1045,625","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171474","23/02/2012 0:00:00 +02:00","1037,025","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171475","23/02/2012 12:00:00 +02:00","1039,475","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171476","24/02/2012 0:00:00 +02:00","1041,35","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171477","24/02/2012 12:00:00 +02:00","1041,85","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171478","25/02/2012 0:00:00 +02:00","1043,175","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171479","25/02/2012 12:00:00 +02:00","1041,175","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171480","26/02/2012 0:00:00 +02:00","1040,475","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171481","26/02/2012 12:00:00 +02:00","1043,3","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171482","27/02/2012 0:00:00 +02:00","1044,45","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171483","27/02/2012 12:00:00 +02:00","1041,8","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171484","28/02/2012 0:00:00 +02:00","1039,525","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171485","28/02/2012 12:00:00 +02:00","1040,175","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171486","29/02/2012 0:00:00 +02:00","1041,525","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171487","29/02/2012 12:00:00 +02:00","1041,85","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171488","1/03/2012 0:00:00 +02:00","1041,15","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171489","1/03/2012 12:00:00 +02:00","1041,85","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171490","2/03/2012 0:00:00 +02:00","1042,5","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171491","2/03/2012 12:00:00 +02:00","1042,85","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171492","3/03/2012 0:00:00 +02:00","1037,85","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171493","3/03/2012 12:00:00 +02:00","1037,7","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171494","4/03/2012 0:00:00 +02:00","1039,025","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171495","4/03/2012 12:00:00 +02:00","1034,875","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171496","5/03/2012 0:00:00 +02:00","1025,7","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171497","5/03/2012 12:00:00 +02:00","1027,2","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171498","6/03/2012 0:00:00 +02:00","1032,675","","LDME","ENT"
"BAO","Baro's","3812","BAOL071X","483","H4445","171499","6/03/2012 12:00:00 +02:00","1040,175","","LDME","ENT"
