"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791971","10/10/2015 12:00:00 +02:00","1037,875","11,91","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791972","11/10/2015 0:00:00 +02:00","1035,5","3,85","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791973","11/10/2015 12:00:00 +02:00","1035,375","10,92","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791974","12/10/2015 0:00:00 +02:00","1034,175","3,273","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791975","12/10/2015 12:00:00 +02:00","1036,4","11,283","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791976","13/10/2015 0:00:00 +02:00","1033,7","-1,647","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791977","13/10/2015 12:00:00 +02:00","1036,7","5,593","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791978","14/10/2015 0:00:00 +02:00","1039","3,897","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791979","14/10/2015 12:00:00 +02:00","1037,15","5,207","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791980","15/10/2015 0:00:00 +02:00","1037,3","3,557","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791981","15/10/2015 12:00:00 +02:00","1037,675","5,033","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791982","16/10/2015 0:00:00 +02:00","1034,95","6,01","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791983","16/10/2015 12:00:00 +02:00","1037,35","8,483","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791984","17/10/2015 0:00:00 +02:00","1035,625","7,103","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791985","17/10/2015 12:00:00 +02:00","1035,775","9,597","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791986","18/10/2015 0:00:00 +02:00","1036,85","5,367","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791987","18/10/2015 12:00:00 +02:00","1038,175","12,193","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791988","19/10/2015 0:00:00 +02:00","1037,725","8,363","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791989","19/10/2015 12:00:00 +02:00","1040,275","11,697","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791990","20/10/2015 0:00:00 +02:00","1040,85","8,8","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791991","20/10/2015 12:00:00 +02:00","1042,225","12,427","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791992","21/10/2015 0:00:00 +02:00","1041,975","3,807","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791993","21/10/2015 12:00:00 +02:00","1039,3","10,747","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791994","22/10/2015 0:00:00 +02:00","1033,05","9,873","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791995","22/10/2015 12:00:00 +02:00","1032,4","12,88","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791996","23/10/2015 0:00:00 +02:00","1039,1","9,693","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791997","23/10/2015 12:00:00 +02:00","1042,825","13,317","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791998","24/10/2015 0:00:00 +02:00","1038,325","9,737","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2791999","24/10/2015 12:00:00 +02:00","1034,4","12,927","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2792000","25/10/2015 0:00:00 +02:00","1035","8,4","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2792001","25/10/2015 12:00:00 +02:00","1043,6","12,713","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2792002","26/10/2015 0:00:00 +02:00","1041,775","3,26","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2792003","26/10/2015 12:00:00 +02:00","1037,525","13,317","LDME","ENT"
"BAO","Baro's","11282","BAOL079X","1960","R6513","2792004","27/10/2015 0:00:00 +02:00","1033,975","2,207","LDME","ENT"
