"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548309","21/02/2019 12:00:00 +01:00","1045,1190816","15,672","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548310","22/02/2019 0:00:00 +01:00","1048,45554","9,307","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548311","22/02/2019 12:00:00 +01:00","1054,2280617","11,811","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548312","23/02/2019 0:00:00 +01:00","1055,4975882","0,812","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548313","23/02/2019 12:00:00 +01:00","1055,3476923","14,597","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548314","24/02/2019 0:00:00 +01:00","1054,1709585","3,194","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548315","24/02/2019 12:00:00 +01:00","1055,7137646","18,312","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548316","25/02/2019 0:00:00 +01:00","1054,6104492","4,751","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548317","25/02/2019 12:00:00 +01:00","1055,624031","19,973","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548318","26/02/2019 0:00:00 +01:00","1053,156357","-0,662","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548319","26/02/2019 12:00:00 +01:00","1053,0696825","24,642","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548320","27/02/2019 0:00:00 +01:00","1048,4392248","-0,224","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548321","27/02/2019 12:00:00 +01:00","1044,5572269","26,212","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548322","28/02/2019 0:00:00 +01:00","1037,279628","-0,334","LDME","ENT"
"BAO","Baro's","14486","BAOL087A","2264","555349","10548323","28/02/2019 12:00:00 +01:00","1033,9900758","13,981","LDME","ENT"
