"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11258578","11/07/2013 19:00:00 +02:00","1035,125","20,47","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11261225","11/07/2013 22:00:00 +02:00","1035,85","15,287","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11259398","12/07/2013 1:00:00 +02:00","1036,475","14,127","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11272087","12/07/2013 4:00:00 +02:00","1036,625","13,423","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11260346","12/07/2013 7:00:00 +02:00","1036,625","12,98","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11264493","12/07/2013 10:00:00 +02:00","1037,575","13,657","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11270675","12/07/2013 13:00:00 +02:00","1037,625","14,273","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11263391","12/07/2013 16:00:00 +02:00","1036,625","15,393","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11264573","12/07/2013 19:00:00 +02:00","1036,225","15,56","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11262757","12/07/2013 22:00:00 +02:00","1036,275","15,16","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11264007","13/07/2013 1:00:00 +02:00","1036,425","14,71","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11261114","13/07/2013 4:00:00 +02:00","1036,275","13,9","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11264908","13/07/2013 7:00:00 +02:00","1036,475","13,477","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11270739","13/07/2013 10:00:00 +02:00","1037,25","14,16","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11270457","13/07/2013 13:00:00 +02:00","1037,4","15,26","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11256128","13/07/2013 16:00:00 +02:00","1036,85","16,36","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11259482","13/07/2013 19:00:00 +02:00","1036,475","16,687","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11270002","13/07/2013 22:00:00 +02:00","1037,25","16,327","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11256654","14/07/2013 1:00:00 +02:00","1037,575","15,207","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11256295","14/07/2013 19:00:00 +02:00","1036,675","17,593","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11257696","15/07/2013 10:00:00 +02:00","1036,675","15,527","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11258016","17/07/2013 1:00:00 +02:00","1036,625","17,39","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11258267","16/07/2013 19:00:00 +02:00","1035,5","18,927","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11258610","17/07/2013 13:00:00 +02:00","1037,25","18,463","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11258631","18/07/2013 16:00:00 +02:00","1036,85","20,443","LDME","ENT"
"BAO","Baro's","14574","BAOL109X","3003","P4024","11259011","16/07/2013 4:00:00 +02:00","1036,475","15,493","LDME","ENT"
