"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911920","4/12/2018 12:00:01 +00:00","1039,754","10,54","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911985","4/12/2018 13:00:01 +00:00","1040,233","11,16","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8912024","4/12/2018 14:00:01 +00:00","1040,804","10,65","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911963","4/12/2018 15:00:01 +00:00","1041,059","9,21","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8912043","4/12/2018 16:00:01 +00:00","1041,691","7,35","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911979","4/12/2018 17:00:01 +00:00","1042,119","5,52","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911934","4/12/2018 18:00:01 +00:00","1042,191","4,64","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911926","4/12/2018 19:00:01 +00:00","1042,548","4,03","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911925","4/12/2018 20:00:01 +00:00","1042,762","3,25","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911948","4/12/2018 21:00:01 +00:00","1042,731","2,56","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911966","4/12/2018 22:00:01 +00:00","1042,752","2,14","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911941","4/12/2018 23:00:01 +00:00","1042,843","1,79","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8912050","5/12/2018 0:00:01 +00:00","1042,67","1,95","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911916","5/12/2018 1:00:01 +00:00","1042,221","1,98","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8912069","5/12/2018 2:00:01 +00:00","1041,742","1,69","LDME","ENT"
"BAO","Baro's","14178","BAOL505X","2711","B_006D9","8911912","5/12/2018 3:00:01 +00:00","1041,344","1,66","LDME","ENT"
