"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035552","15/02/2018 12:00:01 +00:00","1030,72","6,23","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035549","16/02/2018 12:00:01 +00:00","1047,51","7,15","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035543","20/02/2018 12:00:01 +00:00","1039,13","5,25","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035544","19/02/2018 12:00:01 +00:00","1038,98","3,13","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035545","18/02/2018 12:00:01 +00:00","1046,12","4,48","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035547","17/02/2018 12:00:01 +00:00","1042,75","4,47","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035542","21/02/2018 12:00:01 +00:00","1045,96","4,52","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035752","23/02/2018 12:00:01 +00:00","1041,4","3,65","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035753","22/02/2018 12:00:01 +00:00","1043,88","4,87","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035756","26/02/2018 12:00:01 +00:00","1049,46","-0,65","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035757","25/02/2018 12:00:01 +00:00","1048,99","1,8","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035758","24/02/2018 12:00:01 +00:00","1043,29","4,23","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035754","28/02/2018 12:00:01 +00:00","1039,22","-1,5","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9035755","27/02/2018 12:00:01 +00:00","1042,15","0,22","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036102","7/03/2018 12:00:01 +00:00","1013,92","8,34","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036103","6/03/2018 12:00:01 +00:00","1010,89","10,29","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036104","5/03/2018 12:00:01 +00:00","1014,14","11,56","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036105","4/03/2018 12:00:01 +00:00","1014,07","12,36","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036106","3/03/2018 12:00:01 +00:00","1015,12","3,41","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036107","2/03/2018 12:00:01 +00:00","1015,37","-2,24","LDME","ENT"
"BAO","Baro's","14190","BAOL517X","2540","B_0055C","9036108","1/03/2018 12:00:01 +00:00","1023,37","-1,43","LDME","ENT"
