"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143963","21/09/2017 12:00:01 +00:00","1039,7","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143961","23/09/2017 12:00:01 +00:00","1044,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143962","22/09/2017 12:00:01 +00:00","1040,7","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143965","26/09/2017 12:00:01 +00:00","1041,7","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143966","25/09/2017 12:00:01 +00:00","1040","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143967","24/09/2017 12:00:01 +00:00","1042,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9143964","27/09/2017 12:00:01 +00:00","1041,9","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144065","30/09/2017 12:00:01 +00:00","1037,3","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144066","29/09/2017 12:00:01 +00:00","1038,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144067","28/09/2017 12:00:01 +00:00","1041,5","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144083","3/10/2017 12:00:01 +00:00","1041,5","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144084","2/10/2017 12:00:01 +00:00","1033,6","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144085","1/10/2017 12:00:01 +00:00","1038,6","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144082","4/10/2017 12:00:01 +00:00","1042,6","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144206","7/10/2017 12:00:01 +00:00","1037,8","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144207","6/10/2017 12:00:01 +00:00","1042","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144208","5/10/2017 12:00:01 +00:00","1033,2","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144209","11/10/2017 12:00:01 +00:00","1036,1","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144210","10/10/2017 12:00:01 +00:00","1037","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144211","9/10/2017 12:00:01 +00:00","1039,8","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144212","8/10/2017 12:00:01 +00:00","1038,3","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144366","16/10/2017 12:00:01 +00:00","1041,1","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144371","15/10/2017 12:00:01 +00:00","1041,9","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144374","14/10/2017 12:00:01 +00:00","1046,6","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144377","13/10/2017 12:00:01 +00:00","1045,5","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144380","12/10/2017 12:00:01 +00:00","1042,9","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144362","18/10/2017 12:00:01 +00:00","1032,5","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144364","17/10/2017 12:00:01 +00:00","1041,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144528","23/10/2017 12:00:01 +00:00","1039,9","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144529","22/10/2017 12:00:01 +00:00","1032,1","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144530","21/10/2017 12:00:01 +00:00","1030,3","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144531","20/10/2017 12:00:01 +00:00","1030","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144532","19/10/2017 12:00:01 +00:00","1029,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144533","25/10/2017 12:00:01 +00:00","1042","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144534","24/10/2017 12:00:01 +00:00","1041,4","","LDME","ENT"
"BAO","Baro's","14191","BAOL518X","2541","B_004C4","9144716","31/10/2017 12:00:01 +00:00","1046,8","","LDME","ENT"
