"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047234","14/09/2016 12:01:00 +00:00","1030,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047244","15/09/2016 14:00:05 +00:00","1027,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047231","16/09/2016 14:00:05 +00:00","1030","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047233","17/09/2016 14:00:05 +00:00","1034,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047226","18/09/2016 14:00:05 +00:00","1035,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047228","19/09/2016 14:00:05 +00:00","1038,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047225","20/09/2016 14:00:05 +00:00","1037","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047259","22/09/2016 14:00:05 +00:00","1039,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047261","23/09/2016 14:00:05 +00:00","1044","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047264","21/09/2016 14:00:05 +00:00","1037,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047265","26/09/2016 14:00:05 +00:00","1042,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047267","27/09/2016 14:00:05 +00:00","1044,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047270","24/09/2016 14:00:05 +00:00","1039,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047272","25/09/2016 14:00:05 +00:00","1035","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047340","30/09/2016 14:00:05 +00:00","1033,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047343","28/09/2016 14:00:05 +00:00","1043,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047345","29/09/2016 14:00:05 +00:00","1033,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047348","2/10/2016 14:00:05 +00:00","1030,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047353","1/10/2016 14:00:05 +00:00","1026,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047347","4/10/2016 14:00:05 +00:00","1050,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047350","3/10/2016 14:00:05 +00:00","1045,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047946","5/10/2016 14:00:05 +00:00","1049,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047868","6/10/2016 12:01:05 +00:00","1043,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047945","7/10/2016 14:00:05 +00:00","1039,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047950","10/10/2016 14:00:05 +00:00","1040,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047952","11/10/2016 14:00:05 +00:00","1039,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047954","8/10/2016 14:00:05 +00:00","1043","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9047959","9/10/2016 14:00:05 +00:00","1044","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048052","18/10/2016 14:00:05 +00:00","1036,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048055","16/10/2016 14:00:05 +00:00","1036,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048057","17/10/2016 14:00:05 +00:00","1040,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048065","14/10/2016 14:00:05 +00:00","1024,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048067","15/10/2016 14:00:05 +00:00","1032","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048070","12/10/2016 14:00:05 +00:00","1037,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048072","13/10/2016 14:00:05 +00:00","1030,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048129","22/10/2016 14:00:05 +00:00","1032,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048131","23/10/2016 14:00:05 +00:00","1030,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048134","20/10/2016 14:00:05 +00:00","1031,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048136","21/10/2016 14:00:05 +00:00","1035,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048137","19/10/2016 14:00:05 +00:00","1033,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048141","24/10/2016 14:00:05 +00:00","1030,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048142","25/10/2016 14:00:05 +00:00","1043,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048211","28/10/2016 14:00:05 +00:00","1053,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048213","26/10/2016 14:00:05 +00:00","1048,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048215","27/10/2016 14:00:05 +00:00","1052,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048207","30/10/2016 15:00:05 +00:00","1048,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048209","31/10/2016 15:00:05 +00:00","1045,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048212","29/10/2016 14:00:05 +00:00","1052,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048220","1/11/2016 15:00:05 +00:00","1038,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048297","6/11/2016 15:00:05 +00:00","1018,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048298","7/11/2016 15:00:05 +00:00","1026,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048299","4/11/2016 15:00:05 +00:00","1028,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048300","5/11/2016 15:00:05 +00:00","1019,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048301","2/11/2016 15:00:05 +00:00","1039,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048302","3/11/2016 15:00:05 +00:00","1040","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048303","8/11/2016 15:00:05 +00:00","1028","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048333","14/11/2016 15:00:05 +00:00","1049,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048334","15/11/2016 15:00:05 +00:00","1043,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048335","12/11/2016 15:00:05 +00:00","1040,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048336","13/11/2016 15:00:05 +00:00","1044,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048337","10/11/2016 15:00:05 +00:00","1024,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048338","11/11/2016 15:00:05 +00:00","1041,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048339","9/11/2016 15:00:05 +00:00","1015,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048396","22/11/2016 15:00:05 +00:00","1029,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048397","20/11/2016 15:00:05 +00:00","1014,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048398","21/11/2016 15:00:05 +00:00","1014,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048399","18/11/2016 15:00:05 +00:00","1017,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048400","19/11/2016 15:00:05 +00:00","1025,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048401","16/11/2016 15:00:05 +00:00","1033,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048402","17/11/2016 15:00:05 +00:00","1021,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048473","23/11/2016 15:00:05 +00:00","1035,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048474","28/11/2016 15:00:05 +00:00","1049,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048475","29/11/2016 15:00:05 +00:00","1052,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048476","26/11/2016 15:00:05 +00:00","1037,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048477","27/11/2016 15:00:05 +00:00","1040,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048478","24/11/2016 15:00:05 +00:00","1038,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048479","25/11/2016 15:00:05 +00:00","1038,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048524","30/11/2016 15:00:05 +00:00","1051,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048530","6/12/2016 15:00:05 +00:00","1049,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048531","4/12/2016 15:00:05 +00:00","1043,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048533","5/12/2016 15:00:05 +00:00","1045","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048534","2/12/2016 15:00:05 +00:00","1042,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048535","3/12/2016 15:00:05 +00:00","1044,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048536","1/12/2016 15:00:05 +00:00","1045,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048608","7/12/2016 15:00:05 +00:00","1049,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048609","12/12/2016 15:00:05 +00:00","1044,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048610","13/12/2016 15:00:05 +00:00","1042,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048611","10/12/2016 15:00:05 +00:00","1042,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048612","11/12/2016 15:00:05 +00:00","1042,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048613","8/12/2016 15:00:05 +00:00","1046,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048614","9/12/2016 15:00:05 +00:00","1047,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048626","20/12/2016 15:00:05 +00:00","1040,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048629","18/12/2016 15:00:05 +00:00","1054,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048630","19/12/2016 15:00:05 +00:00","1045,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048631","16/12/2016 15:00:05 +00:00","1047,9","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048632","17/12/2016 15:00:05 +00:00","1057,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048641","14/12/2016 15:00:05 +00:00","1042,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048642","15/12/2016 15:00:05 +00:00","1042,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048703","22/12/2016 15:00:05 +00:00","1048,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048704","23/12/2016 15:00:05 +00:00","1049,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048705","21/12/2016 15:00:05 +00:00","1044,7","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048706","26/12/2016 15:00:05 +00:00","1051,5","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048707","27/12/2016 15:00:05 +00:00","1063,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048708","24/12/2016 15:00:05 +00:00","1046,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048709","25/12/2016 15:00:05 +00:00","1045,1","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048745","30/12/2016 15:00:05 +00:00","1055,6","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048746","31/12/2016 15:00:05 +00:00","1050,2","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048747","28/12/2016 15:00:05 +00:00","1063,4","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048748","29/12/2016 15:00:05 +00:00","1057,3","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048756","2/01/2017 15:00:05 +00:00","1043,8","","LDME","ENT"
"BAO","Baro's","14192","BAOL519X","2543","B_0029F","9048757","3/01/2017 15:00:05 +00:00","1043,1","","LDME","ENT"
