"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420166","1/11/2014 12:00:00 +00:00","1027,78","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420158","3/11/2014 12:00:00 +00:00","1007,4","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420162","2/11/2014 12:00:00 +00:00","1021,25","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420173","6/11/2014 12:00:00 +00:00","1020,25","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420176","5/11/2014 12:00:00 +00:00","1011,68","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420180","4/11/2014 12:00:00 +00:00","1004,43","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420170","7/11/2014 12:00:00 +00:00","1010,45","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420508","11/11/2014 12:00:00 +00:00","1013,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420512","10/11/2014 12:00:00 +00:00","1018,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420515","9/11/2014 12:00:00 +00:00","1016,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420518","8/11/2014 12:00:00 +00:00","1019,43","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420530","12/11/2014 12:00:00 +00:00","1012,7","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420522","14/11/2014 12:00:00 +00:00","1013,83","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420526","13/11/2014 12:00:00 +00:00","1020,75","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420781","19/11/2014 12:00:00 +00:00","1030,45","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420784","18/11/2014 12:00:00 +00:00","1019,23","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420787","17/11/2014 12:00:00 +00:00","1013,4","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420789","16/11/2014 12:00:00 +00:00","1009,63","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420797","21/11/2014 12:00:00 +00:00","1030,65","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420801","20/11/2014 12:00:00 +00:00","1035,55","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8420863","15/11/2014 12:00:00 +00:00","1010,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421129","23/11/2014 12:00:00 +00:00","1025,65","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421131","22/11/2014 12:00:00 +00:00","1026,97","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421139","24/11/2014 12:00:00 +00:00","1035,22","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421134","27/11/2014 12:00:00 +00:00","1016,58","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421136","26/11/2014 12:00:00 +00:00","1023,3","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421137","25/11/2014 12:00:00 +00:00","1033,1","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421152","28/11/2014 12:00:00 +00:00","1016,48","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421461","30/11/2014 12:00:00 +00:00","1022,18","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421462","29/11/2014 12:00:00 +00:00","1023","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421559","3/12/2014 12:00:00 +00:00","1031,78","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421562","2/12/2014 12:00:00 +00:00","1023,9","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421564","1/12/2014 12:00:00 +00:00","1021,25","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421570","5/12/2014 12:00:00 +00:00","1028,2","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421574","4/12/2014 12:00:00 +00:00","1026,25","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421892","7/12/2014 12:00:00 +00:00","1029,33","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421894","6/12/2014 12:00:00 +00:00","1034,1","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421897","11/12/2014 12:00:00 +00:00","1018","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421899","10/12/2014 12:00:00 +00:00","1025,85","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421900","9/12/2014 12:00:00 +00:00","1038,7","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421902","8/12/2014 12:00:00 +00:00","1027,47","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8421915","12/12/2014 12:00:00 +00:00","1006,28","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422167","18/12/2014 12:00:00 +00:00","1021,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422169","17/12/2014 12:00:00 +00:00","1013,63","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422170","16/12/2014 12:00:00 +00:00","1022,8","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422250","15/12/2014 12:00:00 +00:00","1024,13","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422252","14/12/2014 12:00:00 +00:00","1027,18","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422254","13/12/2014 12:00:00 +00:00","1021,15","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422165","19/12/2014 12:00:00 +00:00","1021,78","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422519","23/12/2014 12:00:00 +00:00","1029,53","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422520","22/12/2014 12:00:00 +00:00","1029,22","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422521","21/12/2014 12:00:00 +00:00","1038,2","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422522","20/12/2014 12:00:00 +00:00","1031,35","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422523","26/12/2014 12:00:00 +00:00","1039,1","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422524","25/12/2014 12:00:00 +00:00","1034,83","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422525","24/12/2014 12:00:00 +00:00","1025,13","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422837","2/01/2015 12:00:00 +00:00","1037,97","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422838","1/01/2015 12:00:00 +00:00","1044,5","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422882","27/12/2014 12:00:00 +00:00","1004,23","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422892","31/12/2014 12:00:00 +00:00","1045,53","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422894","30/12/2014 12:00:00 +00:00","1046,85","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422895","29/12/2014 12:00:00 +00:00","1043,9","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8422897","28/12/2014 12:00:00 +00:00","1038,6","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423212","3/01/2015 12:00:00 +00:00","1031,55","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423225","7/01/2015 12:00:00 +00:00","1038,3","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423227","6/01/2015 12:00:00 +00:00","1031,45","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423228","5/01/2015 12:00:00 +00:00","1042,8","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423230","4/01/2015 12:00:00 +00:00","1045,53","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423233","9/01/2015 12:00:00 +00:00","1028,3","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423235","8/01/2015 12:00:00 +00:00","1028,6","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423501","16/01/2015 12:00:00 +00:00","1016,15","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423563","11/01/2015 12:00:00 +00:00","1031,35","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423567","10/01/2015 12:00:00 +00:00","1020,25","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423575","15/01/2015 12:00:00 +00:00","1006,38","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423577","14/01/2015 12:00:00 +00:00","1018,2","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423580","13/01/2015 12:00:00 +00:00","1013,3","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423583","12/01/2015 12:00:00 +00:00","1025,55","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423834","19/01/2015 12:00:00 +00:00","1021,68","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423838","18/01/2015 12:00:00 +00:00","1022,28","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423842","17/01/2015 12:00:00 +00:00","1025,65","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423846","23/01/2015 12:00:00 +00:00","1037,18","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423849","22/01/2015 12:00:00 +00:00","1028,4","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423852","21/01/2015 12:00:00 +00:00","1020,75","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8423856","20/01/2015 12:00:00 +00:00","1022,7","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424177","27/01/2015 12:00:00 +00:00","1034,33","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424181","26/01/2015 12:00:00 +00:00","1029,43","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424183","25/01/2015 12:00:00 +00:00","1040,43","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424185","24/01/2015 12:00:00 +00:00","1030,95","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424192","29/01/2015 12:00:00 +00:00","995,78","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424196","28/01/2015 12:00:00 +00:00","1014,53","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424200","30/01/2015 13:00:00 +00:00","986,8","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424500","2/02/2015 13:00:00 +00:00","1012,8","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424506","1/02/2015 13:00:00 +00:00","999,55","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424509","3/02/2015 12:00:00 +00:00","1014,73","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424518","6/02/2015 12:00:00 +00:00","1037,68","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424520","5/02/2015 12:00:00 +00:00","1032,88","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424523","4/02/2015 12:00:00 +00:00","1024,53","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424564","31/01/2015 13:00:00 +00:00","992,1","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424668","12/02/2015 13:00:00 +00:00","1030,22","","LDME","ENT"
"BAO","Baro's","14202","BAOL529X","2552","B_B2121","8424670","13/02/2015 13:00:00 +00:00","1021,58","","LDME","ENT"
