"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023463","19/02/2018 12:00:01 +00:00","1031,99","5,08","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023487","20/02/2018 12:00:01 +00:00","1031,31","8,56","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023511","21/02/2018 12:00:01 +00:00","1038,4","13,5","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023535","22/02/2018 12:00:01 +00:00","1036,4","12,66","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023559","23/02/2018 12:00:01 +00:00","1034,15","10,33","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023583","24/02/2018 12:00:01 +00:00","1036,06","11,11","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023607","25/02/2018 12:00:01 +00:00","1041,46","9,02","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023673","26/02/2018 12:00:01 +00:00","1041,2","2,96","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023697","27/02/2018 12:00:01 +00:00","1034,42","7,25","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023721","28/02/2018 12:00:01 +00:00","1031,93","5,57","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023745","1/03/2018 12:00:01 +00:00","1016,41","3,14","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023769","2/03/2018 12:00:01 +00:00","1007,71","-1,07","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023793","3/03/2018 12:00:01 +00:00","1008,29","8,44","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023817","4/03/2018 12:00:01 +00:00","1007,62","23,35","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023883","5/03/2018 12:00:01 +00:00","1007,69","16,44","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023907","6/03/2018 12:00:01 +00:00","1004,26","15,07","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023931","7/03/2018 12:00:01 +00:00","1007,31","11,89","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023956","8/03/2018 12:00:01 +00:00","1011,95","6,89","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8023980","9/03/2018 12:00:01 +00:00","1019,98","15,63","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024004","10/03/2018 12:00:01 +00:00","1013,47","20,91","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024028","11/03/2018 12:00:01 +00:00","1007,27","18,39","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024094","12/03/2018 12:00:01 +00:00","1005,38","15,71","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024118","13/03/2018 12:00:01 +00:00","1017,68","5,35","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024142","14/03/2018 12:00:01 +00:00","1024,02","23,53","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024167","15/03/2018 12:00:01 +00:00","1007,98","12,41","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024191","16/03/2018 12:00:01 +00:00","1015,15","11,12","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024216","17/03/2018 12:00:01 +00:00","1015,89","-0,48","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024240","18/03/2018 12:00:01 +00:00","1020,37","0,05","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024306","19/03/2018 12:00:01 +00:00","1025,38","7,38","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024330","20/03/2018 12:00:01 +00:00","1035,2","18","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024354","21/03/2018 12:00:01 +00:00","1043,68","13,63","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024378","22/03/2018 12:00:01 +00:00","1029,26","6,59","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024402","23/03/2018 12:00:01 +00:00","1019,07","6,54","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024426","24/03/2018 12:00:01 +00:00","1014,78","23,43","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024450","25/03/2018 12:00:01 +00:00","1021,6","25,95","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024516","26/03/2018 12:00:01 +00:00","1030,53","20,54","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024540","27/03/2018 12:00:01 +00:00","1023,54","11,46","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024564","28/03/2018 12:00:01 +00:00","1013,62","8,36","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024588","29/03/2018 12:00:01 +00:00","1019,57","17,06","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024612","30/03/2018 12:00:01 +00:00","1011,93","21,82","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024636","31/03/2018 12:00:01 +00:00","1013,1","23,45","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024660","1/04/2018 12:00:01 +00:00","1023,02","11,8","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024726","2/04/2018 12:00:01 +00:00","1018,65","17,2","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024750","3/04/2018 12:00:01 +00:00","1014,71","16,83","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024774","4/04/2018 12:00:01 +00:00","1013,27","15,18","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024798","5/04/2018 12:00:01 +00:00","1029,21","9,79","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024822","6/04/2018 12:00:01 +00:00","1030,68","24,47","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024846","7/04/2018 12:00:01 +00:00","1023,09","30,72","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024870","8/04/2018 12:00:01 +00:00","1020,15","35,41","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024936","9/04/2018 12:00:01 +00:00","1018,06","20,7","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024960","10/04/2018 12:00:01 +00:00","1017,02","24,77","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8024984","11/04/2018 12:00:01 +00:00","1020,39","11,38","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025008","12/04/2018 12:00:01 +00:00","1013,67","16,11","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025032","13/04/2018 12:00:01 +00:00","1022,15","19,99","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025056","14/04/2018 12:00:01 +00:00","1032,08","28,29","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025080","15/04/2018 12:00:01 +00:00","1025,29","24,37","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025146","16/04/2018 12:00:01 +00:00","1030,1","26,39","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025170","17/04/2018 12:00:01 +00:00","1038,91","30,07","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025194","18/04/2018 12:00:01 +00:00","1044,46","34,9","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025218","19/04/2018 12:00:01 +00:00","1039,4","38,77","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025242","20/04/2018 12:00:01 +00:00","1036,96","39,09","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025266","21/04/2018 12:00:01 +00:00","1035,16","35,13","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025290","22/04/2018 12:00:01 +00:00","1024,95","32,09","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025356","23/04/2018 12:00:01 +00:00","1030,66","28,28","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025380","24/04/2018 12:00:01 +00:00","1031,11","17,86","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025404","25/04/2018 12:00:01 +00:00","1026,5","21,67","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025428","26/04/2018 12:00:01 +00:00","1031,1","22,38","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025452","27/04/2018 12:00:01 +00:00","1022,68","26,01","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025476","28/04/2018 12:00:01 +00:00","1024,75","21,43","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025500","29/04/2018 12:00:01 +00:00","1019,47","19,07","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025566","30/04/2018 12:00:01 +00:00","1012,2","16,64","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025590","1/05/2018 12:00:01 +00:00","1025,96","21,3","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025614","2/05/2018 12:00:01 +00:00","1024,75","25,01","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025638","3/05/2018 12:00:01 +00:00","1032,22","25,58","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025658","4/05/2018 12:00:01 +00:00","1036,31","28,69","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025682","5/05/2018 12:00:01 +00:00","1037,73","30,04","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025704","6/05/2018 12:00:01 +00:00","1036,06","34,44","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025770","7/05/2018 12:00:01 +00:00","1031,81","34,82","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025794","8/05/2018 12:00:01 +00:00","1023,14","37,9","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025818","9/05/2018 12:00:01 +00:00","1020,93","37,2","LDME","ENT"
"BAO","Baro's","14205","BAOL532X","2582","B_004AD","8025842","10/05/2018 12:00:01 +00:00","1027,2","23,66","LDME","ENT"
