"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036466","13/02/2018 12:00:01 +00:00","1028,32","6,78","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036472","14/02/2018 12:00:01 +00:00","1032,6","6,36","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036478","15/02/2018 12:00:01 +00:00","1029,01","5,5","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036484","16/02/2018 12:00:01 +00:00","1045,74","7,39","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036490","17/02/2018 12:00:01 +00:00","1041,27","5,52","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036496","18/02/2018 12:00:01 +00:00","1044,68","5,33","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036502","19/02/2018 12:00:01 +00:00","1037,43","3,24","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036550","20/02/2018 12:00:01 +00:00","1037,64","5,71","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036556","21/02/2018 12:00:01 +00:00","1044,57","6,25","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036562","22/02/2018 12:00:01 +00:00","1042,65","6,09","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036568","23/02/2018 12:00:01 +00:00","1040,05","4,76","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036574","24/02/2018 12:00:01 +00:00","1042,02","5,12","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036580","25/02/2018 12:00:01 +00:00","1047,68","3,44","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036586","26/02/2018 12:00:01 +00:00","1047,93","0,14","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036634","27/02/2018 12:00:01 +00:00","1040,73","2,24","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036640","28/02/2018 12:00:01 +00:00","1037,93","0,36","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036646","1/03/2018 12:00:01 +00:00","1021,99","-0,82","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036652","2/03/2018 12:00:01 +00:00","1013,93","-2,14","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036658","3/03/2018 12:00:01 +00:00","1013,74","4,05","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036664","4/03/2018 12:00:01 +00:00","1012,61","13,37","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036670","5/03/2018 12:00:01 +00:00","1012,51","13,05","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036718","6/03/2018 12:00:01 +00:00","1008,93","7,52","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036724","7/03/2018 12:00:01 +00:00","1012,28","7,49","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036730","8/03/2018 12:00:01 +00:00","1016,33","4,48","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036736","9/03/2018 12:00:01 +00:00","1025,1","10,65","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036742","10/03/2018 12:00:01 +00:00","1017,83","14,68","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036748","11/03/2018 12:00:01 +00:00","1012,05","13,51","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036754","12/03/2018 12:00:01 +00:00","1010","14,02","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036802","13/03/2018 12:00:01 +00:00","1024,01","5,87","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036808","14/03/2018 12:00:01 +00:00","1028,99","16,09","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036814","15/03/2018 12:00:01 +00:00","1013,07","9,55","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036820","16/03/2018 12:00:01 +00:00","1020,58","9,1","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036830","17/03/2018 12:00:01 +00:00","1022,93","0,26","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036854","18/03/2018 12:00:01 +00:00","1026,97","1,96","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036878","19/03/2018 12:00:01 +00:00","1031,58","4,56","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036944","20/03/2018 12:00:01 +00:00","1041,56","10,89","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036968","21/03/2018 12:00:01 +00:00","1049,27","9,72","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8036992","22/03/2018 12:00:01 +00:00","1035,07","6,33","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037016","23/03/2018 12:00:01 +00:00","1024,01","8,26","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037040","24/03/2018 12:00:01 +00:00","1020,64","14","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037064","25/03/2018 12:00:01 +00:00","1027,4","17,55","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037088","26/03/2018 12:00:01 +00:00","1035,9","14,58","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037154","27/03/2018 12:00:01 +00:00","1028,42","9,66","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037178","28/03/2018 12:00:01 +00:00","1018,8","8,32","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037202","29/03/2018 12:00:01 +00:00","1024,56","12,94","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037226","30/03/2018 12:00:01 +00:00","1016,82","17,44","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037250","31/03/2018 12:00:01 +00:00","1018,2","16,09","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037274","1/04/2018 12:00:01 +00:00","1029,07","8,52","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037298","2/04/2018 12:00:01 +00:00","1023,1","12,57","LDME","ENT"
"BAO","Baro's","14206","BAOL533X","2586","B_005FD","8037364","3/04/2018 12:00:01 +00:00","1018,79","17,82","LDME","ENT"
