"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070766","13/02/2018 12:00:01 +00:00","1029,34","13,21","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070790","14/02/2018 12:00:01 +00:00","1033,76","13,63","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070814","15/02/2018 12:00:01 +00:00","1029,9","6,77","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070838","16/02/2018 12:00:01 +00:00","1046,76","14,89","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070862","17/02/2018 12:00:01 +00:00","1042,44","10,81","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070886","18/02/2018 12:00:01 +00:00","1045,74","9,69","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070910","19/02/2018 12:00:01 +00:00","1038,37","4,63","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8070976","20/02/2018 12:00:01 +00:00","1038,92","11,73","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071000","21/02/2018 12:00:01 +00:00","1045,77","13,96","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071024","22/02/2018 12:00:01 +00:00","1043,82","14,91","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071048","23/02/2018 12:00:01 +00:00","1041,36","13,4","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071072","24/02/2018 12:00:01 +00:00","1043,27","14,38","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071096","25/02/2018 12:00:01 +00:00","1048,96","12,42","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071120","26/02/2018 12:00:01 +00:00","1049,05","4,46","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071186","27/02/2018 12:00:01 +00:00","1042,04","10,44","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071210","28/02/2018 12:00:01 +00:00","1039,26","8,48","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071234","1/03/2018 12:00:01 +00:00","1023,25","3,92","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071258","2/03/2018 12:00:01 +00:00","1014,9","-0,5","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071282","3/03/2018 12:00:01 +00:00","1014,96","9,34","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071306","4/03/2018 12:00:01 +00:00","1013,2","24,77","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071330","5/03/2018 12:00:01 +00:00","1013,23","20,22","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071396","6/03/2018 12:00:01 +00:00","1009,98","13,81","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071420","7/03/2018 12:00:01 +00:00","1013,3","11,62","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071444","8/03/2018 12:00:01 +00:00","1017,25","5,85","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071468","9/03/2018 12:00:01 +00:00","1026","15,82","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071492","10/03/2018 12:00:01 +00:00","1018,67","18,18","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071516","11/03/2018 12:00:01 +00:00","1012,96","16,78","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071540","12/03/2018 12:00:01 +00:00","1010,91","16,18","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071606","13/03/2018 12:00:01 +00:00","1024,86","5,91","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071630","14/03/2018 12:00:01 +00:00","1029,62","24,05","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071654","15/03/2018 12:00:01 +00:00","1013,99","12,09","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071678","16/03/2018 12:00:01 +00:00","1021,55","11,3","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071702","17/03/2018 12:00:01 +00:00","1023,84","1,23","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071726","18/03/2018 12:00:01 +00:00","1028,09","5,88","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071750","19/03/2018 12:00:01 +00:00","1032,71","11,3","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071816","20/03/2018 12:00:01 +00:00","1042,51","18,12","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071840","21/03/2018 12:00:01 +00:00","1050,3","15,15","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071864","22/03/2018 12:00:01 +00:00","1036,03","7,5","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071888","23/03/2018 12:00:01 +00:00","1024,91","9,86","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071912","24/03/2018 12:00:01 +00:00","1021,4","21,01","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071936","25/03/2018 12:00:01 +00:00","1028,11","25,5","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8071960","26/03/2018 12:00:01 +00:00","1036,63","21,56","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072026","27/03/2018 12:00:01 +00:00","1029,22","10,97","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072050","28/03/2018 12:00:01 +00:00","1019,64","8,66","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072074","29/03/2018 12:00:01 +00:00","1025,5","17,68","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072098","30/03/2018 12:00:01 +00:00","1017,46","25,75","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072122","31/03/2018 12:00:01 +00:00","1018,89","21,95","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072146","1/04/2018 12:00:01 +00:00","1029,98","9,43","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072170","2/04/2018 12:00:01 +00:00","1024","16,08","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072236","3/04/2018 12:00:01 +00:00","1019,41","22,09","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072260","4/04/2018 12:00:01 +00:00","1018,6","15,73","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072284","5/04/2018 12:00:01 +00:00","1035,76","10,73","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072308","6/04/2018 12:00:01 +00:00","1035,96","26,08","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072332","7/04/2018 12:00:01 +00:00","1028,17","29,22","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072356","8/04/2018 12:00:01 +00:00","1025,64","33,76","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072380","9/04/2018 12:00:01 +00:00","1024,2","23,67","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072446","10/04/2018 12:00:01 +00:00","1022,74","26,66","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072470","11/04/2018 12:00:01 +00:00","1026,58","15,47","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072494","12/04/2018 12:00:01 +00:00","1020,21","14,69","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072518","13/04/2018 12:00:01 +00:00","1028,02","21,91","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072542","14/04/2018 12:00:01 +00:00","1038","27,02","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072566","15/04/2018 12:00:01 +00:00","1030,64","25,09","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072590","16/04/2018 12:00:01 +00:00","1035,97","23,71","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072656","17/04/2018 12:00:01 +00:00","1044,26","29,51","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072680","18/04/2018 12:00:01 +00:00","1050,21","36,75","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072704","19/04/2018 12:00:01 +00:00","1045,04","39,38","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072728","20/04/2018 12:00:01 +00:00","1042,28","36,78","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072752","21/04/2018 12:00:01 +00:00","1041,13","34,6","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072776","22/04/2018 12:00:01 +00:00","1029,82","36,57","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072800","23/04/2018 12:00:01 +00:00","1036,39","25,04","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072866","24/04/2018 12:00:01 +00:00","1037,13","18,01","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072890","25/04/2018 12:00:01 +00:00","1032,54","19,62","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072914","26/04/2018 12:00:01 +00:00","1036,73","19,91","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072938","27/04/2018 12:00:01 +00:00","1028,72","24,71","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072962","28/04/2018 12:00:01 +00:00","1030,66","17,15","LDME","ENT"
"BAO","Baro's","14209","BAOL536X","2585","B_0055A","8072986","29/04/2018 12:00:01 +00:00","1026,29","13,58","LDME","ENT"
