"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162031","27/11/2018 12:00:01 +00:00","1038,989","6,23","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162030","28/11/2018 12:00:01 +00:00","1035,767","7,25","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9161880","1/12/2018 12:00:01 +00:00","1030,515","8,32","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162028","30/11/2018 12:00:01 +00:00","1029,771","10,52","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162029","29/11/2018 12:00:01 +00:00","1029,118","9,92","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9161878","3/12/2018 12:00:01 +00:00","1020,002","12,44","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9161879","2/12/2018 12:00:01 +00:00","1019,543","12,45","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162223","6/12/2018 12:00:01 +00:00","1036,491","11,14","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162224","5/12/2018 12:00:01 +00:00","1039,723","8","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162225","4/12/2018 12:00:01 +00:00","1041,304","8,94","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162222","7/12/2018 12:00:01 +00:00","1022,826","11,6","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162226","10/12/2018 12:00:01 +00:00","1042,415","7,35","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162227","9/12/2018 12:00:01 +00:00","1021,195","8,16","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162228","8/12/2018 12:00:01 +00:00","1024,264","9,49","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162550","17/12/2018 12:00:01 +00:00","1038,041","7,03","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162553","16/12/2018 12:00:01 +00:00","1029,322","2,77","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162557","15/12/2018 12:00:01 +00:00","1041,671","1,11","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162559","14/12/2018 12:00:01 +00:00","1041,457","2,17","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162561","13/12/2018 12:00:01 +00:00","1038,214","2,93","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162563","12/12/2018 12:00:01 +00:00","1044,077","1,2","LDME","ENT"
"BAO","Baro's","14214","BAOL541X","2587","B_00640","9162564","11/12/2018 12:00:01 +00:00","1044,312","6,41","LDME","ENT"
