"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063103","12/09/2016 14:59:22 +01:00","1040,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063104","12/09/2016 15:01:02 +01:00","1038,4","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063105","12/09/2016 15:04:39 +01:00","1035,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063106","12/09/2016 16:01:03 +01:00","1034,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063107","13/09/2016 0:00:05 +01:00","1034,2","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063108","13/09/2016 8:00:05 +01:00","1032,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063109","13/09/2016 16:00:05 +01:00","1030,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063110","14/09/2016 0:00:05 +01:00","1030,4","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063111","14/09/2016 8:00:05 +01:00","1030,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063112","14/09/2016 16:00:05 +01:00","1031,9","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063113","15/09/2016 0:00:05 +01:00","1031","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063114","15/09/2016 8:00:05 +01:00","1029","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063115","15/09/2016 16:00:05 +01:00","1029,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063116","16/09/2016 0:00:05 +01:00","1032,4","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063117","16/09/2016 8:00:05 +01:00","1032,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063118","16/09/2016 16:00:05 +01:00","1031,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063119","17/09/2016 0:00:05 +01:00","1032,7","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063120","17/09/2016 8:00:05 +01:00","1035,1","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063121","17/09/2016 16:00:05 +01:00","1037,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063122","18/09/2016 0:00:05 +01:00","1038,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063123","18/09/2016 8:00:05 +01:00","1037,3","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063124","18/09/2016 16:00:05 +01:00","1037","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063125","19/09/2016 0:00:05 +01:00","1039","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063126","19/09/2016 8:00:05 +01:00","1039,9","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063127","19/09/2016 16:00:05 +01:00","1040,2","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063128","20/09/2016 0:00:05 +01:00","1040,4","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063129","20/09/2016 8:00:05 +01:00","1039,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063130","20/09/2016 16:00:05 +01:00","1038,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063131","21/09/2016 0:00:05 +01:00","1039,7","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063132","21/09/2016 8:00:05 +01:00","1039,1","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063133","21/09/2016 16:00:05 +01:00","1038,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063134","22/09/2016 0:00:05 +01:00","1039,9","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063135","22/09/2016 8:00:05 +01:00","1040,4","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063136","22/09/2016 16:00:05 +01:00","1040,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063137","23/09/2016 0:00:05 +01:00","1041,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063138","23/09/2016 8:00:05 +01:00","1043,9","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063139","23/09/2016 16:00:05 +01:00","1046","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063140","24/09/2016 0:00:05 +01:00","1045,6","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063141","24/09/2016 8:00:05 +01:00","1044","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063142","24/09/2016 16:00:05 +01:00","1040,5","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063143","25/09/2016 0:00:05 +01:00","1037,7","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063144","25/09/2016 8:00:05 +01:00","1034,7","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063145","25/09/2016 16:00:05 +01:00","1037,7","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063146","26/09/2016 0:00:05 +01:00","1042,8","","LDME","ENT"
"BAO","Baro's","14215","BAOL542X","2560","B_002A5","11063147","26/09/2016 8:00:05 +01:00","1044,1","","LDME","ENT"
