"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179888","17/12/2018 0:00:01 +00:00","1025,763","2,76","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179735","17/12/2018 1:00:01 +00:00","1025,671","2,92","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179883","17/12/2018 2:00:01 +00:00","1025,977","3,41","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179731","17/12/2018 3:00:01 +00:00","1026,212","4,26","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179784","17/12/2018 4:00:01 +00:00","1026,171","4,64","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179765","17/12/2018 5:00:01 +00:00","1026,528","4,9","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179858","17/12/2018 6:00:01 +00:00","1027,242","5,12","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179854","17/12/2018 7:00:01 +00:00","1027,894","5,47","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179746","17/12/2018 8:00:01 +00:00","1029,036","5,9","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179750","17/12/2018 9:00:01 +00:00","1030,097","6,36","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179749","17/12/2018 10:00:01 +00:00","1031,106","6,82","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179872","17/12/2018 11:00:01 +00:00","1031,535","7,44","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179729","17/12/2018 12:00:01 +00:00","1032,106","8,99","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179764","17/12/2018 13:00:01 +00:00","1032,901","9,25","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179783","17/12/2018 14:00:01 +00:00","1033,207","10,03","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179848","17/12/2018 15:00:01 +00:00","1034,584","9,44","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179863","17/12/2018 16:00:01 +00:00","1035,155","7,78","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179836","17/12/2018 17:00:01 +00:00","1035,695","6,58","LDME","ENT"
"BAO","Baro's","14217","BAOL544X","2715","B_0078B","9179827","17/12/2018 18:00:01 +00:00","1036,093","6,26","LDME","ENT"
