"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654318","28/06/2018 12:00:01 +00:00","1036,34","33,26","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654344","28/06/2018 13:00:01 +00:00","1035,6","32,87","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654339","28/06/2018 14:00:01 +00:00","1035,1","33,2","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654356","28/06/2018 15:00:01 +00:00","1034,51","33,09","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654377","28/06/2018 16:00:01 +00:00","1033,92","31,16","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654361","28/06/2018 17:00:01 +00:00","1033,68","30,33","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654369","28/06/2018 18:00:01 +00:00","1033,48","29,41","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654364","28/06/2018 19:00:01 +00:00","1033,35","28,04","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654363","28/06/2018 20:00:01 +00:00","1033,5","24,73","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654375","28/06/2018 21:00:01 +00:00","1033,64","20,19","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654358","28/06/2018 22:00:01 +00:00","1033,89","17,84","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654372","28/06/2018 23:00:01 +00:00","1034,12","16,98","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654234","29/06/2018 0:00:01 +00:00","1034,34","16,84","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654332","29/06/2018 1:00:01 +00:00","1034,04","15,86","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654231","29/06/2018 2:00:01 +00:00","1033,7","15,1","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654325","29/06/2018 3:00:01 +00:00","1033,53","13,71","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654341","29/06/2018 4:00:01 +00:00","1033,48","12,91","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654343","29/06/2018 5:00:01 +00:00","1033,87","15,73","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654383","29/06/2018 6:00:01 +00:00","1034,23","19,58","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654392","29/06/2018 7:00:01 +00:00","1034,17","23,95","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654347","29/06/2018 8:00:01 +00:00","1033,99","28,44","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654349","29/06/2018 9:00:01 +00:00","1034,12","30,91","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654348","29/06/2018 10:00:01 +00:00","1033,53","32,06","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654233","29/06/2018 11:00:01 +00:00","1033,08","32,42","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654230","30/06/2018 2:00:01 +00:00","1029,41","11,38","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654232","30/06/2018 11:00:01 +00:00","1028,82","33,72","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654235","30/06/2018 0:00:01 +00:00","1030,01","14,79","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654238","1/07/2018 0:00:01 +00:00","1027,52","18,01","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654243","1/07/2018 11:00:01 +00:00","1029,69","29,68","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654250","1/07/2018 2:00:01 +00:00","1027,71","17,27","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654284","1/07/2018 8:00:01 +00:00","1029,53","24,79","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654287","1/07/2018 10:00:01 +00:00","1029,62","28,47","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654288","1/07/2018 9:00:01 +00:00","1029,62","26,71","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654299","1/07/2018 5:00:01 +00:00","1028,43","17,68","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654312","1/07/2018 4:00:01 +00:00","1028,23","16,68","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654316","30/06/2018 12:00:01 +00:00","1028,59","34,55","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654317","29/06/2018 12:00:01 +00:00","1032,62","33,85","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654323","1/07/2018 7:00:01 +00:00","1029,35","22,42","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654324","30/06/2018 1:00:01 +00:00","1029,81","13,02","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654326","1/07/2018 6:00:01 +00:00","1028,93","19,84","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654331","30/06/2018 3:00:01 +00:00","1029,32","11,32","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654337","30/06/2018 14:00:01 +00:00","1027,85","35,21","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654338","30/06/2018 4:00:01 +00:00","1029,18","11,4","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654340","29/06/2018 14:00:01 +00:00","1031,7","35,47","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654342","29/06/2018 13:00:01 +00:00","1032","34,72","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654345","30/06/2018 13:00:01 +00:00","1028,19","35,11","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654346","30/06/2018 5:00:01 +00:00","1029,36","13,34","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654350","30/06/2018 10:00:01 +00:00","1029,3","32,29","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654351","30/06/2018 9:00:01 +00:00","1029,56","31,66","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654352","30/06/2018 8:00:01 +00:00","1029,65","28,19","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654353","30/06/2018 15:00:01 +00:00","1027,47","35,22","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654354","30/06/2018 22:00:01 +00:00","1027,43","21,01","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654355","29/06/2018 22:00:01 +00:00","1030,35","18,84","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654357","29/06/2018 15:00:01 +00:00","1030,99","35,61","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654359","30/06/2018 17:00:01 +00:00","1026,9","33,12","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654360","29/06/2018 17:00:01 +00:00","1030,18","34,03","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654362","30/06/2018 18:00:01 +00:00","1026,83","31,2","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654365","29/06/2018 20:00:01 +00:00","1030,04","25,1","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654366","29/06/2018 19:00:01 +00:00","1029,88","29,4","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654367","30/06/2018 20:00:01 +00:00","1027,06","25,68","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654368","30/06/2018 19:00:01 +00:00","1026,96","28,92","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654370","29/06/2018 18:00:01 +00:00","1029,94","32,59","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654371","30/06/2018 21:00:01 +00:00","1027,33","22,98","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654373","29/06/2018 23:00:01 +00:00","1030,19","16,52","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654374","30/06/2018 23:00:01 +00:00","1027,48","19,48","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654376","29/06/2018 21:00:01 +00:00","1030,21","21,34","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654378","29/06/2018 16:00:01 +00:00","1030,52","34,82","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654379","30/06/2018 16:00:01 +00:00","1027,43","34,41","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654381","1/07/2018 3:00:01 +00:00","1028,02","16,94","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654385","30/06/2018 6:00:01 +00:00","1029,72","18,38","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654387","1/07/2018 1:00:01 +00:00","1027,6","17,23","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654390","30/06/2018 7:00:01 +00:00","1029,73","23,25","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654236","5/07/2018 0:00:01 +00:00","1027,07","18,34","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654237","4/07/2018 0:00:01 +00:00","1028,69","19,6","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654239","3/07/2018 0:00:01 +00:00","1030,12","15,61","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654240","2/07/2018 0:00:01 +00:00","1027,99","14,09","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654241","2/07/2018 11:00:01 +00:00","1029,68","30,83","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654242","3/07/2018 11:00:01 +00:00","1030,84","34,37","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654244","4/07/2018 11:00:01 +00:00","1028,54","34,32","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654245","5/07/2018 11:00:01 +00:00","1028,44","32,75","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654246","5/07/2018 2:00:01 +00:00","1026,58","16,81","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654247","4/07/2018 2:00:01 +00:00","1027,82","15,94","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654248","3/07/2018 2:00:01 +00:00","1029,82","13,89","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654249","2/07/2018 2:00:01 +00:00","1028,21","12,91","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654251","4/07/2018 20:00:01 +00:00","1026,2","27,46","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654252","4/07/2018 19:00:01 +00:00","1026,35","31,76","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654253","2/07/2018 21:00:01 +00:00","1029,6","21,37","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654254","3/07/2018 21:00:01 +00:00","1028,52","22,38","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654255","1/07/2018 23:00:01 +00:00","1028,3","14,78","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654256","4/07/2018 18:00:01 +00:00","1026,17","34,81","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654257","2/07/2018 23:00:01 +00:00","1030,11","17,47","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654258","3/07/2018 23:00:01 +00:00","1028,8","20,45","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654259","1/07/2018 21:00:01 +00:00","1028,15","20,09","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654260","4/07/2018 23:00:01 +00:00","1027,39","18,7","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654261","2/07/2018 18:00:01 +00:00","1028,81","30,87","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654262","3/07/2018 18:00:01 +00:00","1028,38","35,01","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654263","1/07/2018 20:00:01 +00:00","1027,81","24,61","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654264","1/07/2018 19:00:01 +00:00","1027,76","28,36","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654265","4/07/2018 21:00:01 +00:00","1026,69","23,61","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654266","2/07/2018 20:00:01 +00:00","1029,06","24,84","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654267","2/07/2018 19:00:01 +00:00","1028,71","28,48","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654268","3/07/2018 20:00:01 +00:00","1028,27","26,48","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654269","3/07/2018 19:00:01 +00:00","1028,27","30,98","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654270","1/07/2018 18:00:01 +00:00","1027,78","30,44","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654271","3/07/2018 17:00:01 +00:00","1028,73","36,72","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654272","2/07/2018 17:00:01 +00:00","1028,73","32,46","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654273","4/07/2018 15:00:01 +00:00","1027,47","34,73","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654274","1/07/2018 17:00:01 +00:00","1027,95","31,64","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654275","4/07/2018 22:00:01 +00:00","1027,04","20,47","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654276","3/07/2018 22:00:01 +00:00","1028,7","20,6","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654277","2/07/2018 15:00:01 +00:00","1028,84","33,74","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654278","3/07/2018 15:00:01 +00:00","1029,44","38,17","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654279","2/07/2018 22:00:01 +00:00","1030,01","18,98","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654280","1/07/2018 22:00:01 +00:00","1028,19","16,25","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654281","4/07/2018 17:00:01 +00:00","1026,85","35,83","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654282","1/07/2018 15:00:01 +00:00","1028,54","32,05","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654283","5/07/2018 5:00:01 +00:00","1026,96","14,55","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654285","4/07/2018 13:00:01 +00:00","1028,2","36,75","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654286","4/07/2018 5:00:01 +00:00","1027,69","15,37","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654289","3/07/2018 8:00:01 +00:00","1030,82","27,04","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654290","2/07/2018 10:00:01 +00:00","1029,7","29,51","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654291","2/07/2018 9:00:01 +00:00","1029,61","27,76","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654292","3/07/2018 10:00:01 +00:00","1030,8","32,38","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654293","3/07/2018 9:00:01 +00:00","1031,08","30,76","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654294","2/07/2018 8:00:01 +00:00","1029,52","24,9","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654295","5/07/2018 8:00:01 +00:00","1027,97","23,77","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654296","4/07/2018 10:00:01 +00:00","1028,68","31,65","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654297","4/07/2018 9:00:01 +00:00","1028,55","28,72","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654298","1/07/2018 13:00:01 +00:00","1029,28","31,49","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654300","5/07/2018 10:00:01 +00:00","1028,38","30,91","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654301","5/07/2018 9:00:01 +00:00","1028,16","29,23","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654302","4/07/2018 8:00:01 +00:00","1028,1","24,24","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654303","3/07/2018 13:00:01 +00:00","1030,27","37,37","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654304","3/07/2018 5:00:01 +00:00","1030,34","14,4","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654305","2/07/2018 13:00:01 +00:00","1029,58","32,85","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654306","2/07/2018 5:00:01 +00:00","1028,33","14,09","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654307","2/07/2018 14:00:01 +00:00","1029,22","33,75","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654308","2/07/2018 4:00:01 +00:00","1028,15","11,31","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654309","3/07/2018 14:00:01 +00:00","1029,92","38,91","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654310","3/07/2018 4:00:01 +00:00","1029,68","12,02","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654311","1/07/2018 14:00:01 +00:00","1028,94","31,98","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654313","4/07/2018 14:00:01 +00:00","1027,77","34,42","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654314","4/07/2018 4:00:01 +00:00","1027,47","12,93","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654315","5/07/2018 4:00:01 +00:00","1026,37","13,25","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654319","4/07/2018 6:00:01 +00:00","1027,95","18,54","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654320","3/07/2018 7:00:01 +00:00","1030,97","23,12","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654321","5/07/2018 6:00:01 +00:00","1027,47","18,71","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654322","2/07/2018 7:00:01 +00:00","1029,33","21,76","LDME","ENT"
"BAO","Baro's","14224","BAOL551X","2576","B_004AF","10654327","5/07/2018 7:00:01 +00:00","1027,59","21,53","LDME","ENT"
