"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668248","16/06/2018 1:00:01 +00:00","1031,45","9","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668228","16/06/2018 2:00:01 +00:00","1031,56","9,19","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668246","16/06/2018 3:00:01 +00:00","1031,24","8,91","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668297","16/06/2018 4:00:01 +00:00","1031,15","8,6","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668284","16/06/2018 5:00:01 +00:00","1031,75","10,03","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668369","16/06/2018 6:00:01 +00:00","1032,05","13,47","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668368","16/06/2018 7:00:01 +00:00","1032,21","18,45","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668266","16/06/2018 8:00:01 +00:00","1031,89","23,56","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668261","16/06/2018 9:00:01 +00:00","1031,73","27,69","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668260","16/06/2018 10:00:01 +00:00","1031,69","26,6","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668217","16/06/2018 11:00:01 +00:00","1031,66","28,72","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668227","17/06/2018 2:00:01 +00:00","1032,14","12,71","LDME","ENT"
"BAO","Baro's","14227","BAOL554X","2578","B_004BB","10668233","17/06/2018 0:00:01 +00:00","1031,95","8,92","LDME","ENT"
