"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680146","23/06/2018 7:00:01 +00:00","1045,5","10,1","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680048","23/06/2018 8:00:01 +00:00","1045,7","13,84","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680052","23/06/2018 9:00:01 +00:00","1045,27","16,73","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680051","23/06/2018 10:00:01 +00:00","1045,11","18","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10679999","23/06/2018 11:00:01 +00:00","1045,05","20,02","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680015","23/06/2018 12:00:01 +00:00","1044,69","21,24","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680042","23/06/2018 13:00:01 +00:00","1043,95","22,6","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680080","23/06/2018 14:00:01 +00:00","1043,3","22,64","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680117","23/06/2018 15:00:01 +00:00","1042,7","22,14","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680161","23/06/2018 16:00:01 +00:00","1042,24","23,86","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680001","24/06/2018 2:00:01 +00:00","1040,2","10,2","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680004","24/06/2018 11:00:01 +00:00","1041,04","21,66","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680012","24/06/2018 0:00:01 +00:00","1041,06","12,71","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680021","24/06/2018 12:00:01 +00:00","1040,71","24,66","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680025","24/06/2018 3:00:01 +00:00","1039,93","9,03","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680027","24/06/2018 1:00:01 +00:00","1040,56","11,41","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680041","24/06/2018 4:00:01 +00:00","1040,04","7,82","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680056","24/06/2018 10:00:01 +00:00","1041,21","20,16","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680057","24/06/2018 9:00:01 +00:00","1041,13","18,23","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680062","24/06/2018 8:00:01 +00:00","1041,03","15,89","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680079","24/06/2018 5:00:01 +00:00","1040,44","8,17","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680087","23/06/2018 18:00:01 +00:00","1041,32","25,3","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680094","23/06/2018 20:00:01 +00:00","1041,19","18,67","LDME","ENT"
"BAO","Baro's","14228","BAOL555X","2579","B_004B7","10680095","23/06/2018 19:00:01 +00:00","1041,11","22,2","LDME","ENT"
