"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561426","30/11/2016 12:00:00 +02:00","1053,2144799","1,8","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561428","30/11/2016 13:00:00 +02:00","1053,370494","5,2","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561430","30/11/2016 14:00:00 +02:00","1052,748477","8,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561432","30/11/2016 15:00:00 +02:00","1052,2192527","8,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561434","30/11/2016 16:00:00 +02:00","1051,8766335","6,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561436","30/11/2016 17:00:00 +02:00","1051,5972357","4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561438","30/11/2016 18:00:00 +02:00","1051,0986024","1,1","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561440","30/11/2016 19:00:00 +02:00","1051,4412216","-0,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561442","30/11/2016 20:00:00 +02:00","1051,2546165","-1,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561444","30/11/2016 21:00:00 +02:00","1051,2230058","-1,6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561446","30/11/2016 22:00:00 +02:00","1050,8814063","-2,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561448","30/11/2016 23:00:00 +02:00","1050,6948012","-3,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561450","1/12/2016 0:00:00 +02:00","1051,0058097","-3,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561452","1/12/2016 1:00:00 +02:00","1050,6009888","-1,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561454","1/12/2016 2:00:00 +02:00","1050,5387871","0,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561456","1/12/2016 3:00:00 +02:00","1050,1961679","0,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561458","1/12/2016 4:00:00 +02:00","1049,5741509","0,1","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561460","1/12/2016 5:00:00 +02:00","1049,0449266","-1,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561462","1/12/2016 6:00:00 +02:00","1048,7645091","-1,9","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561464","1/12/2016 7:00:00 +02:00","1048,7961198","-0,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561466","1/12/2016 8:00:00 +02:00","1048,5157023","1,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561468","1/12/2016 9:00:00 +02:00","1048,4229096","2,1","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561470","1/12/2016 10:00:00 +02:00","1048,577904","3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561472","1/12/2016 11:00:00 +02:00","1048,4535006","3,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561474","1/12/2016 12:00:00 +02:00","1048,2046938","4,8","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561476","1/12/2016 13:00:00 +02:00","1047,5510661","5,6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561478","1/12/2016 14:00:00 +02:00","1046,9596401","6,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561480","1/12/2016 15:00:00 +02:00","1046,6486316","7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561482","1/12/2016 16:00:00 +02:00","1046,2132197","6,9","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561484","1/12/2016 17:00:00 +02:00","1045,7778078","6,6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561486","1/12/2016 18:00:00 +02:00","1045,7156061","6,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561488","1/12/2016 19:00:00 +02:00","1045,4045976","6,1","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561490","1/12/2016 20:00:00 +02:00","1045,3729869","6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561492","1/12/2016 21:00:00 +02:00","1044,9059643","6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561494","1/12/2016 22:00:00 +02:00","1044,7815609","5,8","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561496","1/12/2016 23:00:00 +02:00","1044,4705524","5,6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561498","2/12/2016 0:00:00 +02:00","1044,5021631","5,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561500","2/12/2016 1:00:00 +02:00","1044,6887682","5,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561502","2/12/2016 2:00:00 +02:00","1044,4083507","5,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561504","2/12/2016 3:00:00 +02:00","1044,0657315","5,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561506","2/12/2016 4:00:00 +02:00","1043,6609106","5,4","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561508","2/12/2016 5:00:00 +02:00","1043,4743055","5,3","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561510","2/12/2016 6:00:00 +02:00","1043,3193111","5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561512","2/12/2016 7:00:00 +02:00","1043,2877004","5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561514","2/12/2016 8:00:00 +02:00","1043,4121038","5,7","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561516","2/12/2016 9:00:00 +02:00","1043,5997286","5,6","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561518","2/12/2016 10:00:00 +02:00","1043,754723","5,9","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561520","2/12/2016 11:00:00 +02:00","1044,2523366","7,5","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561522","2/12/2016 12:00:00 +02:00","1043,9729388","9,2","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561524","2/12/2016 13:00:00 +02:00","1043,7863337","10,1","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561526","2/12/2016 14:00:00 +02:00","1043,4437145","10,9","LDME","ENT"
"BAO","Baro's","13258","BAOL835X","1538","P2_16672","3561528","2/12/2016 15:00:00 +02:00","1043,163297","10,9","LDME","ENT"
