"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031140","26/04/2018 12:00:00 +02:00","1033,475","13,277","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031087","27/04/2018 0:00:00 +02:00","1034,125","6,53","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031110","27/04/2018 12:00:00 +02:00","1029,075","14,13","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8030951","28/04/2018 0:00:00 +02:00","1023,65","10,94","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031248","28/04/2018 12:00:00 +02:00","1028,25","15,03","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031148","29/04/2018 0:00:00 +02:00","1028,4","10,907","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031357","29/04/2018 12:00:00 +02:00","1025,075","9,877","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031359","30/04/2018 0:00:00 +02:00","1016,825","12,613","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031350","30/04/2018 12:00:00 +02:00","1015,225","12,483","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8030950","1/05/2018 0:00:00 +02:00","1019,025","5,923","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8030967","5/05/2018 12:00:00 +02:00","1041,925","18,39","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8030984","2/05/2018 0:00:00 +02:00","1030,6","7,71","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031002","9/05/2018 0:00:00 +02:00","1023,975","16,203","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031054","5/05/2018 0:00:00 +02:00","1041,15","11,47","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031117","6/05/2018 0:00:00 +02:00","1040,2","12,853","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031163","7/05/2018 12:00:00 +02:00","1036,25","21,487","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031178","8/05/2018 12:00:00 +02:00","1027,5","22,903","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031184","10/05/2018 12:00:00 +02:00","1028,425","12,023","LDME","ENT"
"BAO","Baro's","13977","BAOL844X","1574","T5753","8031189","3/05/2018 0:00:00 +02:00","1028,55","12,573","LDME","ENT"
