"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290389","15/09/2018 0:00:00 +02:00","1026,65","21,207","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290301","15/09/2018 12:00:00 +02:00","1030,025","21,09","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290352","16/09/2018 0:00:00 +02:00","1029,175","20,873","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290232","16/09/2018 12:00:00 +02:00","1025,75","20,827","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290099","17/09/2018 0:00:00 +02:00","1024,275","20,883","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290290","17/09/2018 12:00:00 +02:00","1022","21,5","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290322","18/09/2018 0:00:00 +02:00","1015,425","21,257","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290090","18/09/2018 12:00:00 +02:00","1016,5","21,637","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290357","19/09/2018 0:00:00 +02:00","1019,7","21,283","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290081","19/09/2018 12:00:00 +02:00","1020,3","21,5","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290121","20/09/2018 0:00:00 +02:00","1021,775","21,237","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290238","20/09/2018 12:00:00 +02:00","1019,25","21,263","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290233","21/09/2018 0:00:00 +02:00","1010,35","21,083","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290098","21/09/2018 12:00:00 +02:00","1014,375","21,327","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290347","22/09/2018 0:00:00 +02:00","1023,225","20,91","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290381","22/09/2018 12:00:00 +02:00","1024,95","20,687","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290354","23/09/2018 0:00:00 +02:00","1018,575","20,197","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290076","3/10/2018 0:00:00 +02:00","1026,9","19,837","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290077","2/10/2018 0:00:00 +02:00","1028,725","19,857","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290080","3/10/2018 12:00:00 +02:00","1033,25","19,757","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290089","25/09/2018 12:00:00 +02:00","1044,625","20,223","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290097","29/09/2018 0:00:00 +02:00","1037","20,01","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290100","6/10/2018 12:00:00 +02:00","1012,875","19,36","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290105","28/09/2018 0:00:00 +02:00","1028,125","20,127","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290109","10/10/2018 0:00:00 +02:00","1024,325","19,44","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290116","29/09/2018 12:00:00 +02:00","1034,475","19,63","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290150","27/09/2018 0:00:00 +02:00","1037","19,643","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290200","7/10/2018 12:00:00 +02:00","1026,425","19","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290208","26/09/2018 0:00:00 +02:00","1040,75","19,877","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290214","2/10/2018 12:00:00 +02:00","1024,325","20,133","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290252","27/09/2018 12:00:00 +02:00","1032,15","20,287","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290257","24/09/2018 12:00:00 +02:00","1042,025","19,783","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290265","28/09/2018 12:00:00 +02:00","1034,05","20,41","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290266","30/09/2018 12:00:00 +02:00","1023,475","19,02","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290267","8/10/2018 12:00:00 +02:00","1028,175","20,813","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290277","6/10/2018 0:00:00 +02:00","1016,7","19,59","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290280","4/10/2018 0:00:00 +02:00","1033,2","19,473","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290291","5/10/2018 12:00:00 +02:00","1021,75","19,697","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290308","7/10/2018 0:00:00 +02:00","1017,75","19,113","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290314","5/10/2018 0:00:00 +02:00","1026,85","19,89","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290317","1/10/2018 0:00:00 +02:00","1023,25","18,857","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290320","23/09/2018 12:00:00 +02:00","1016,7","19,97","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290329","26/09/2018 12:00:00 +02:00","1038,925","19,677","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290334","30/09/2018 0:00:00 +02:00","1027,925","19,327","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290344","9/10/2018 0:00:00 +02:00","1026,4","20,377","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290351","24/09/2018 0:00:00 +02:00","1033,575","19,503","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290362","9/10/2018 12:00:00 +02:00","1026,05","20,093","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290371","8/10/2018 0:00:00 +02:00","1028,75","18,55","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290372","1/10/2018 12:00:00 +02:00","1029,6","20,453","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290378","25/09/2018 0:00:00 +02:00","1043,775","19,67","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290383","4/10/2018 12:00:00 +02:00","1031,475","19,85","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290078","11/11/2018 0:00:00 +02:00","1003,8","18,617","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290079","8/11/2018 0:00:00 +02:00","1015,625","19,85","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290093","6/11/2018 0:00:00 +02:00","1008,875","21,527","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290096","31/10/2018 0:00:00 +02:00","1009,5","19,543","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290102","18/10/2018 12:00:00 +02:00","1031,1","19,703","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290104","17/10/2018 0:00:00 +02:00","1023,475","19,69","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290106","29/10/2018 12:00:00 +02:00","1010,975","19,173","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290112","18/10/2018 0:00:00 +02:00","1028,125","19,473","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290122","28/10/2018 12:00:00 +02:00","1022,175","17,493","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290124","28/10/2018 0:00:00 +02:00","1017,975","18,013","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290126","22/10/2018 0:00:00 +02:00","1033,575","18,427","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290129","13/10/2018 0:00:00 +02:00","1021,15","20,127","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290130","3/11/2018 12:00:00 +02:00","1033,625","18,617","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290135","5/11/2018 12:00:00 +02:00","1011,625","19,957","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290140","13/10/2018 12:00:00 +02:00","1019,875","20,043","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290143","21/10/2018 0:00:00 +02:00","1036,375","18,777","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290145","14/10/2018 12:00:00 +02:00","1010,15","19,87","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290146","25/10/2018 0:00:00 +02:00","1030,25","19,577","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290155","23/10/2018 0:00:00 +02:00","1040,825","20,183","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290159","10/11/2018 0:00:00 +02:00","1005,075","19,87","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290161","14/10/2018 0:00:00 +02:00","1015","19,917","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290166","9/11/2018 12:00:00 +02:00","1015,45","20,093","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290168","19/10/2018 0:00:00 +02:00","1030,025","19,537","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290171","15/10/2018 0:00:00 +02:00","1011,4","19,783","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290172","1/11/2018 0:00:00 +02:00","1013,075","19,737","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290175","22/10/2018 12:00:00 +02:00","1040,125","21,05","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290182","12/11/2018 12:00:00 +02:00","1017,975","20,5","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290188","29/10/2018 0:00:00 +02:00","1019,225","16,91","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290192","9/11/2018 0:00:00 +02:00","1020,5","19,387","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290199","24/10/2018 12:00:00 +02:00","1034,225","19,85","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290203","12/10/2018 0:00:00 +02:00","1015,425","20,217","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290204","16/10/2018 12:00:00 +02:00","1022,825","20,023","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290205","12/10/2018 12:00:00 +02:00","1020,925","20,3","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290215","15/10/2018 12:00:00 +02:00","1015,45","19,837","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290221","26/10/2018 12:00:00 +02:00","1014,175","20,167","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290224","17/10/2018 12:00:00 +02:00","1024,95","19,537","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290226","12/11/2018 0:00:00 +02:00","1014,775","17,823","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290228","31/10/2018 12:00:00 +02:00","1016,275","19,977","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290235","13/11/2018 0:00:00 +02:00","1021,125","20,403","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290239","16/10/2018 0:00:00 +02:00","1020,3","19,777","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290240","23/10/2018 12:00:00 +02:00","1034,475","19,643","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290242","2/11/2018 12:00:00 +02:00","1029,35","19,897","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290243","2/11/2018 0:00:00 +02:00","1017,55","19,65","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290250","30/10/2018 0:00:00 +02:00","998,075","20,307","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290258","30/10/2018 12:00:00 +02:00","991,7","19,957","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290263","5/11/2018 0:00:00 +02:00","1014,8","17,06","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290268","20/10/2018 12:00:00 +02:00","1037,65","19,127","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290273","11/11/2018 12:00:00 +02:00","1007,6","18,253","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290276","19/10/2018 12:00:00 +02:00","1031,05","20,107","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290281","3/11/2018 0:00:00 +02:00","1035,1","19,577","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290286","7/11/2018 0:00:00 +02:00","1008,45","19,657","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290303","4/11/2018 0:00:00 +02:00","1025,55","17,93","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290311","21/10/2018 12:00:00 +02:00","1034,05","18,657","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290312","6/11/2018 12:00:00 +02:00","1008,25","20,613","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290316","27/10/2018 0:00:00 +02:00","1015,025","19,3","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290328","11/10/2018 0:00:00 +02:00","1013,5","19,897","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290335","27/10/2018 12:00:00 +02:00","1015,85","18,63","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290340","10/10/2018 12:00:00 +02:00","1019,875","19,83","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290353","1/11/2018 12:00:00 +02:00","1011,4","19,897","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290363","26/10/2018 0:00:00 +02:00","1021,775","19,48","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290364","7/11/2018 12:00:00 +02:00","1007,175","19,897","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290365","11/10/2018 12:00:00 +02:00","1012,675","20,577","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290375","8/11/2018 12:00:00 +02:00","1025,375","19,367","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290376","4/11/2018 12:00:00 +02:00","1019,875","17,427","LDME","ENT"
"BAO","Baro's","14315","BAOL849X","2704","A9771","8290377","20/10/2018 0:00:00 +02:00","1034,475","19,467","LDME","ENT"
