"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131529","11/05/2004 12:00:00 +02:00","1040,71","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131878","12/05/2004 12:00:00 +02:00","1042,44","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127345","13/05/2004 12:00:00 +02:00","1042,64","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131031","14/05/2004 12:00:00 +02:00","1045,91","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127211","19/05/2004 12:00:00 +02:00","1044,58","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129837","20/05/2004 12:00:00 +02:00","1041,01","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131963","21/05/2004 12:00:00 +02:00","1040,3","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127339","22/05/2004 12:00:00 +02:00","1048,36","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127296","23/05/2004 12:00:00 +02:00","1049,07","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127415","24/05/2004 12:00:00 +02:00","1047,23","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127286","11/06/2004 12:00:00 +02:00","1039,79","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127355","26/05/2004 12:00:00 +02:00","1041,62","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127586","12/06/2004 12:00:00 +02:00","1041,73","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127946","13/06/2004 12:00:00 +02:00","1052,23","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127948","7/06/2004 12:00:00 +02:00","1040,5","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128471","31/05/2004 12:00:00 +02:00","1039,38","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128588","4/06/2004 12:00:00 +02:00","1041,62","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129325","9/06/2004 12:00:00 +02:00","1041,01","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129676","29/05/2004 12:00:00 +02:00","1044,17","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130031","1/06/2004 12:00:00 +02:00","1034,79","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130725","28/05/2004 12:00:00 +02:00","1047,13","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131028","27/05/2004 12:00:00 +02:00","1045,19","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131427","3/06/2004 12:00:00 +02:00","1049,58","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131429","25/05/2004 12:00:00 +02:00","1042,85","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131467","30/05/2004 12:00:00 +02:00","1040,09","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131469","6/06/2004 12:00:00 +02:00","1041,42","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131652","2/06/2004 12:00:00 +02:00","1042,64","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132085","5/06/2004 12:00:00 +02:00","1039,69","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132088","8/06/2004 12:00:00 +02:00","1039,28","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132198","10/06/2004 12:00:00 +02:00","1041,01","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127204","10/07/2004 12:00:00 +02:00","1035,91","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127222","17/07/2004 12:00:00 +02:00","1031,42","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127324","20/07/2004 12:00:00 +02:00","1033,67","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127690","19/06/2004 12:00:00 +02:00","1028,26","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128048","25/06/2004 12:00:00 +02:00","1038,26","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128264","7/07/2004 12:00:00 +02:00","1032,55","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128269","27/06/2004 12:00:00 +02:00","1037,75","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128524","22/07/2004 12:00:00 +02:00","1039,07","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128590","21/06/2004 12:00:00 +02:00","1030,3","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128852","24/06/2004 12:00:00 +02:00","1027,55","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128962","12/07/2004 12:00:00 +02:00","1034,18","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129298","8/07/2004 12:00:00 +02:00","1027,24","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129412","28/06/2004 12:00:00 +02:00","1047,13","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129515","4/07/2004 12:00:00 +02:00","1036,22","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129550","17/06/2004 12:00:00 +02:00","1031,73","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129576","19/07/2004 12:00:00 +02:00","1039,99","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129677","20/06/2004 12:00:00 +02:00","1027,24","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129692","23/06/2004 12:00:00 +02:00","1014,9","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129738","21/07/2004 12:00:00 +02:00","1036,42","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9129778","3/07/2004 12:00:00 +02:00","1033,67","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130080","18/07/2004 12:00:00 +02:00","1035,3","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130117","2/07/2004 12:00:00 +02:00","1029,89","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130331","15/07/2004 12:00:00 +02:00","1037,03","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130425","30/06/2004 12:00:00 +02:00","1036,93","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130575","5/07/2004 12:00:00 +02:00","1038,97","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130638","6/07/2004 12:00:00 +02:00","1043,05","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130639","11/07/2004 12:00:00 +02:00","1039,07","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9130737","1/07/2004 12:00:00 +02:00","1033,36","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131249","22/06/2004 12:00:00 +02:00","1033,77","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131385","9/07/2004 12:00:00 +02:00","1030,2","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131596","13/07/2004 12:00:00 +02:00","1038,46","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131628","14/07/2004 12:00:00 +02:00","1038,16","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131630","16/06/2004 12:00:00 +02:00","1042,75","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131684","15/06/2004 12:00:00 +02:00","1042,75","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131939","16/07/2004 12:00:00 +02:00","1036,63","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9131976","18/06/2004 12:00:00 +02:00","1027,96","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132112","26/06/2004 12:00:00 +02:00","1041,11","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132136","23/07/2004 12:00:00 +02:00","1040,3","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132183","29/06/2004 12:00:00 +02:00","1046,32","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9132244","14/06/2004 12:00:00 +02:00","1051,21","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127306","16/09/2004 12:00:00 +02:00","1047,34","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127312","5/08/2004 12:00:00 +02:00","1031,93","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127322","7/08/2004 12:00:00 +02:00","1035,4","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127410","19/09/2004 12:00:00 +02:00","1038,97","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127456","29/08/2004 12:00:00 +02:00","1033,77","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127538","24/09/2004 12:00:00 +02:00","1037,54","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127587","1/10/2004 12:00:00 +02:00","1039,28","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127657","6/09/2004 12:00:00 +02:00","1046,21","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127705","5/10/2004 12:00:00 +02:00","1031,93","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127935","4/09/2004 12:00:00 +02:00","1049,58","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127945","9/09/2004 12:00:00 +02:00","1047,85","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9127967","11/10/2004 12:00:00 +02:00","1037,14","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128075","26/08/2004 12:00:00 +02:00","1037,34","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128104","6/08/2004 12:00:00 +02:00","1041,32","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128145","18/08/2004 12:00:00 +02:00","1022,86","12","LDME","ENT"
"BAO","Baro's","14351","BAOL900X","2722","D0000","9128161","27/09/2004 12:00:00 +02:00","1041,93","12","LDME","ENT"
