"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"11474","DYLP115A","1345","G4375","1639510","2/05/2013 12:00:00 +01:00","1247,24633419646","7,623","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637517","2/05/2013 13:18:24 +01:00","1247,24633419646","7,623","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639511","3/05/2013 12:00:00 +01:00","1245,14601704857","7,57","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637518","3/05/2013 13:18:24 +01:00","1245,14601704857","7,57","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639512","4/05/2013 12:00:00 +01:00","1246,43021096186","7,623","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637519","4/05/2013 13:18:24 +01:00","1246,43021096186","7,623","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637520","5/05/2013 13:18:24 +01:00","1251,03890687494","7,68","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637521","6/05/2013 13:18:24 +01:00","1246,5462284805","7,743","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637522","7/05/2013 13:18:24 +01:00","1242,05455023709","7,813","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637523","8/05/2013 13:18:24 +01:00","1237,85391594131","7,883","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637524","9/05/2013 13:18:24 +01:00","1242,2875854254","7,953","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637525","10/05/2013 13:18:24 +01:00","1243,51277042833","8,033","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639513","5/05/2013 12:00:00 +01:00","1251,03890687494","7,68","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639514","6/05/2013 12:00:00 +01:00","1246,5462284805","7,743","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639515","7/05/2013 12:00:00 +01:00","1242,05455023709","7,813","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639516","8/05/2013 12:00:00 +01:00","1237,85391594131","7,883","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639517","9/05/2013 12:00:00 +01:00","1242,2875854254","7,953","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639518","10/05/2013 12:00:00 +01:00","1243,51277042833","8,033","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637526","11/05/2013 13:18:24 +01:00","1242,63763828338","8,11","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637527","12/05/2013 13:18:24 +01:00","1245,96314043421","8,193","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637528","13/05/2013 13:18:24 +01:00","1243,33774399934","8,27","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637529","14/05/2013 13:18:24 +01:00","1238,31998631793","8,347","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637530","15/05/2013 13:18:24 +01:00","1228,92756806278","8,417","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637531","16/05/2013 13:18:24 +01:00","1227,93541824816","8,48","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637532","17/05/2013 13:18:24 +01:00","1233,85321385383","8,537","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637533","18/05/2013 13:18:24 +01:00","1239,10436385568","8,593","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637534","19/05/2013 13:18:24 +01:00","1237,87909552192","8,643","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637535","20/05/2013 13:18:24 +01:00","1238,4042105221","8,693","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637536","21/05/2013 13:18:24 +01:00","1241,37986218982","8,733","DRME","ENT"
"11474","DYLP115A","1345","G4375","1637537","22/05/2013 13:18:24 +01:00","1246,6900251155","8,77","DRME","ENT"
"11474","DYLP115A","1345","G4375","1639519","11/05/2013 12:00:00 +01:00","1242,63763828338","8,11","DRME","ENT"
