"REGI_CDE","REGI_NAM","PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638766","2/05/2013 12:05:22 +02:00","1189,95468315716","8,253","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638767","3/05/2013 12:05:22 +02:00","1186,62918100633","8,183","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638768","4/05/2013 12:05:22 +02:00","1186,45415457734","8,23","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638769","5/05/2013 12:05:22 +02:00","1189,60463029918","8,287","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638770","6/05/2013 12:05:22 +02:00","1184,29582867013","8,353","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638771","7/05/2013 12:05:22 +02:00","1177,93586831612","8,417","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638772","8/05/2013 12:05:22 +02:00","1171,10983758548","8,487","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638773","9/05/2013 12:05:22 +02:00","1176,14957675731","8,557","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638774","10/05/2013 12:05:22 +02:00","1177,66590883403","8,64","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638775","11/05/2013 12:05:22 +02:00","1179,3582794632","8,727","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638776","12/05/2013 12:05:22 +02:00","1180,70057342558","8,81","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638777","13/05/2013 12:05:22 +02:00","1180,23347113018","8,897","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638778","14/05/2013 12:05:22 +02:00","1176,73270446228","8,973","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638779","15/05/2013 12:05:22 +02:00","1167,33864716373","9,043","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638780","16/05/2013 12:05:22 +02:00","1170,31429883144","9,1","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638781","17/05/2013 12:05:22 +02:00","1175,50743612851","9,157","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638782","18/05/2013 12:05:22 +02:00","1180,05843279678","9,2","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638783","19/05/2013 12:05:22 +02:00","1180,23347113018","9,25","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638784","20/05/2013 12:05:22 +02:00","1181,05065009237","9,283","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638785","21/05/2013 12:05:22 +02:00","1186,00973613221","9,32","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638786","22/05/2013 12:05:22 +02:00","1194,06149946838","9,347","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638787","23/05/2013 12:05:22 +02:00","1188,75233676175","9,383","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638788","24/05/2013 12:05:22 +02:00","1189,3934771715","9,42","DRME","ENT"
"DYL","Dijlevallei","10859","DYLP222A","517","G4201","1638789","25/05/2013 12:05:22 +02:00","1194,76165280196","9,453","DRME","ENT"
