"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"5774","ZWAP033X","1849","W1549","9737413","18/10/2018 0:00:00 +02:00","1164,51758782909","12,177","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737308","18/10/2018 12:00:00 +02:00","1167,31899413506","12,177","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737324","19/10/2018 0:00:00 +02:00","1167,31899413506","12,177","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737405","19/10/2018 12:00:00 +02:00","1167,6691699233","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737212","20/10/2018 0:00:00 +02:00","1169,82925428565","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737224","20/10/2018 12:00:00 +02:00","1174,78974445171","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737367","21/10/2018 0:00:00 +02:00","1173,85627585048","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737225","23/10/2018 0:00:00 +02:00","1177,59115075768","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737258","27/10/2018 12:00:00 +02:00","1036,23719106992","12,13","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737272","26/10/2018 12:00:00 +02:00","1030,63437845799","12,143","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737300","24/10/2018 0:00:00 +02:00","1167,7862286868","12,163","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737334","28/10/2018 0:00:00 +02:00","1042,59838438896","12,123","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737342","25/10/2018 0:00:00 +02:00","1167,49408202918","12,157","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737349","22/10/2018 12:00:00 +02:00","1175,37303726471","12,163","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737351","24/10/2018 12:00:00 +02:00","1168,71969728804","12,157","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737362","23/10/2018 12:00:00 +02:00","1170,29548833514","12,163","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737363","26/10/2018 0:00:00 +02:00","1035,47780986055","12,143","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737368","22/10/2018 0:00:00 +02:00","1169,9453125469","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737381","21/10/2018 12:00:00 +02:00","1172,16342603987","12,17","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737401","25/10/2018 12:00:00 +02:00","1035,59486862405","12,15","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737420","27/10/2018 0:00:00 +02:00","1032,44328652984","12,137","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737200","1/11/2018 0:00:00 +02:00","1041,78097404897","12,06","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737207","4/11/2018 12:00:00 +02:00","1067,75301201203","11,96","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737216","31/10/2018 0:00:00 +02:00","1028,24117707089","12,08","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737223","3/11/2018 0:00:00 +02:00","1073,06367796634","12,007","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737236","31/10/2018 12:00:00 +02:00","1041,08062247248","12,067","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737242","30/10/2018 0:00:00 +02:00","1008,63133292913","12,093","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737243","6/11/2018 12:00:00 +02:00","1066,58542588379","11,883","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737244","5/11/2018 12:00:00 +02:00","1064,01713660257","11,923","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737257","2/11/2018 12:00:00 +02:00","1062,61643344959","12,02","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737264","2/11/2018 0:00:00 +02:00","1048,14316787027","12,033","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737279","11/11/2018 0:00:00 +02:00","1081,9931605666","11,713","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737298","9/11/2018 12:00:00 +02:00","1086,95365073267","11,767","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737302","6/11/2018 0:00:00 +02:00","1064,89257607319","11,903","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737360","1/11/2018 12:00:00 +02:00","1043,35676509608","12,047","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737361","4/11/2018 0:00:00 +02:00","1071,25476989449","11,973","DRME","ENT"
"5774","ZWAP033X","1849","W1549","9737371","8/11/2018 12:00:00 +02:00","1091,33084808574","11,81","DRME","ENT"
