Date/Time	P1-P2	P1	P2	T	TOB1	TOB2		
7/06/2010 14:00:00		3,246			13,19			
7/06/2010 20:00:00		3,243			13,19			
8/06/2010 2:00:00		3,240			13,19			
8/06/2010 8:00:00		3,230			13,17			
8/06/2010 14:00:00		3,236			13,17			
8/06/2010 20:00:00		3,235			13,17			
9/06/2010 2:00:00		3,231			13,17			
9/06/2010 8:00:00		3,236			13,17			
9/06/2010 14:00:00		3,232			13,17			
9/06/2010 20:00:00		3,234			13,19			
10/06/2010 2:00:00		3,235			13,17			
10/06/2010 8:00:00		3,231			13,15			
10/06/2010 14:00:00		3,232			13,17			
10/06/2010 20:00:00		3,239			13,19			
11/06/2010 2:00:00		3,236			13,19			
11/06/2010 8:00:00		3,232			13,17			
11/06/2010 14:00:00		3,238			13,17			
11/06/2010 20:00:00		3,237			13,19			
12/06/2010 2:00:00		3,234			13,21			
12/06/2010 8:00:00		3,244			13,17			
12/06/2010 14:00:00		3,250			13,17			
12/06/2010 20:00:00		3,259			13,18			
13/06/2010 2:00:00		3,260			13,18			
13/06/2010 8:00:00		3,264			13,18			
13/06/2010 14:00:00		3,261			13,18			
13/06/2010 20:00:00		3,260			13,20			
14/06/2010 2:00:00		3,257			13,18			
14/06/2010 8:00:00		3,255			13,15			
14/06/2010 14:00:00		3,243			13,17			
14/06/2010 20:00:00		3,244			13,17			
15/06/2010 2:00:00		3,246			13,19			
15/06/2010 8:00:00		3,241			13,17			
15/06/2010 14:00:00		3,233			13,19			
15/06/2010 20:00:00		3,236			13,15			
16/06/2010 2:00:00		3,240			13,19			
16/06/2010 8:00:00		3,238			13,17			
16/06/2010 14:00:00		3,233			13,17			
16/06/2010 20:00:00		3,238			13,19			
17/06/2010 2:00:00		3,234			13,17			
17/06/2010 8:00:00		3,230			13,17			
17/06/2010 14:00:00		3,229			13,17			
17/06/2010 20:00:00		3,228			13,17			
18/06/2010 2:00:00		3,226			13,19			
18/06/2010 8:00:00		3,231			13,21			
18/06/2010 14:00:00		3,224			13,17			
18/06/2010 20:00:00		3,227			13,19			
19/06/2010 2:00:00		3,230			13,19			
19/06/2010 8:00:00		3,233			13,21			
19/06/2010 14:00:00		3,244			13,19			
19/06/2010 20:00:00		3,250			13,17			
20/06/2010 2:00:00		3,254			13,15			
20/06/2010 8:00:00		3,260			13,18			
20/06/2010 14:00:00		3,261			13,18			
20/06/2010 20:00:00		3,258			13,15			
21/06/2010 2:00:00		3,253			13,18			
21/06/2010 8:00:00		3,243			13,19			
21/06/2010 14:00:00		3,235			13,19			
21/06/2010 20:00:00		3,232			13,17			
22/06/2010 2:00:00		3,235			13,17			
22/06/2010 8:00:00		3,228			13,15			
22/06/2010 14:00:00		3,223			13,18			
22/06/2010 20:00:00		3,225			13,17			
23/06/2010 2:00:00		3,220			13,18			
23/06/2010 8:00:00		3,217			13,18			
23/06/2010 14:00:00		3,219			13,18			
23/06/2010 20:00:00		3,216			13,16			
24/06/2010 2:00:00		3,216			13,18			
24/06/2010 8:00:00		3,210			13,16			
24/06/2010 14:00:00		3,206			13,16			
24/06/2010 20:00:00		3,217			13,16			
25/06/2010 2:00:00		3,216			13,18			
25/06/2010 8:00:00		3,215			13,16			
25/06/2010 14:00:00		3,216			13,16			
25/06/2010 20:00:00		3,214			13,16			
26/06/2010 2:00:00		3,219			13,18			
26/06/2010 8:00:00		3,221			13,16			
26/06/2010 14:00:00		3,221			13,18			
26/06/2010 20:00:00		3,229			13,17			
27/06/2010 2:00:00		3,232			13,17			
27/06/2010 8:00:00		3,232			13,17			
27/06/2010 14:00:00		3,232			13,17			
27/06/2010 20:00:00		3,234			13,19			
28/06/2010 2:00:00		3,228			13,15			
28/06/2010 8:00:00		3,218			13,16			
28/06/2010 14:00:00		3,209			13,20			
28/06/2010 20:00:00		3,209			13,16			
29/06/2010 2:00:00		3,207			13,16			
29/06/2010 8:00:00		3,199			13,16			
29/06/2010 14:00:00		3,191			13,13			
29/06/2010 20:00:00		3,200			13,14			
30/06/2010 2:00:00		3,193			13,15			
30/06/2010 8:00:00		3,189			13,17			
30/06/2010 14:00:00		3,187			13,15			
30/06/2010 20:00:00		3,186			13,15			
1/07/2010 2:00:00		3,183			13,15			
1/07/2010 8:00:00		3,181			13,13			
1/07/2010 14:00:00		3,179			13,10			
1/07/2010 20:00:00		3,178			13,15			
2/07/2010 2:00:00		3,179			13,15			
2/07/2010 8:00:00		3,177			13,13			
2/07/2010 14:00:00		3,172			13,13			
2/07/2010 20:00:00		3,177			13,13			
3/07/2010 2:00:00		3,180			13,10			
3/07/2010 8:00:00		3,183			13,15			
3/07/2010 14:00:00		3,197			13,14			
3/07/2010 20:00:00		3,204			13,07			
4/07/2010 2:00:00		3,210			13,07			
4/07/2010 8:00:00		3,216			13,07			
4/07/2010 14:00:00		3,216			13,14			
4/07/2010 20:00:00		3,211			13,16			
5/07/2010 2:00:00		3,207			13,09			
5/07/2010 8:00:00		3,200			13,11			
5/07/2010 14:00:00		3,196			13,13			
5/07/2010 20:00:00		3,197			13,11			
6/07/2010 2:00:00		3,191			13,10			
6/07/2010 8:00:00		3,195			13,13			
6/07/2010 14:00:00		3,194			13,10			
6/07/2010 20:00:00		3,191			13,13			
7/07/2010 2:00:00		3,192			13,13			
7/07/2010 8:00:00		3,188			13,10			
7/07/2010 14:00:00		3,184			13,10			
7/07/2010 20:00:00		3,189			13,10			
8/07/2010 2:00:00		3,188			13,13			
8/07/2010 8:00:00		3,179			13,13			
8/07/2010 14:00:00		3,184			13,15			
8/07/2010 20:00:00		3,184			13,15			
9/07/2010 2:00:00		3,181			13,10			
9/07/2010 8:00:00		3,178			13,13			
9/07/2010 14:00:00		3,173			13,13			
9/07/2010 20:00:00		3,178			13,13			
10/07/2010 2:00:00		3,179			13,15			
10/07/2010 8:00:00		3,173			13,13			
10/07/2010 14:00:00		3,183			13,13			
10/07/2010 20:00:00		3,193			13,15			
11/07/2010 2:00:00		3,199			13,11			
11/07/2010 8:00:00		3,202			13,09			
11/07/2010 14:00:00		3,202			13,09			
11/07/2010 20:00:00		3,167			8,44			
12/07/2010 2:00:00		3,161			8,50			
12/07/2010 8:00:00		3,154			8,41			
12/07/2010 14:00:00		3,150			8,38			
12/07/2010 20:00:00		3,156			8,31			
13/07/2010 2:00:00		3,149			8,27			
13/07/2010 8:00:00		3,150			8,25			
13/07/2010 14:00:00		3,151			8,27			
13/07/2010 20:00:00		3,149			8,25			
14/07/2010 2:00:00		3,149			8,20			
14/07/2010 8:00:00		3,148			8,15			
14/07/2010 14:00:00		3,143			8,20			
14/07/2010 20:00:00		3,145			8,15			
15/07/2010 2:00:00		3,147			8,20			
15/07/2010 8:00:00		3,146			8,15			
15/07/2010 14:00:00		3,145			8,15			
15/07/2010 20:00:00		3,148			8,13			
16/07/2010 2:00:00		3,143			8,13			
16/07/2010 8:00:00		3,146			8,13			
16/07/2010 14:00:00		3,145			8,13			
16/07/2010 20:00:00		3,146			8,15			
17/07/2010 2:00:00		3,150			8,20			
17/07/2010 8:00:00		3,160			8,18			
17/07/2010 14:00:00		3,162			8,18			
17/07/2010 20:00:00		3,169			8,16			
18/07/2010 2:00:00		3,174			8,19			
18/07/2010 8:00:00		3,180			8,14			
18/07/2010 14:00:00		3,182			8,14			
18/07/2010 20:00:00		3,180			8,19			
19/07/2010 2:00:00		3,176			8,21			
19/07/2010 8:00:00		3,170			8,16			
19/07/2010 14:00:00		3,170			8,14			
19/07/2010 20:00:00		3,159			8,18			
20/07/2010 2:00:00		3,154			8,18			
20/07/2010 8:00:00		3,153			8,20			
20/07/2010 14:00:00		3,149			8,20			
20/07/2010 20:00:00		3,146			8,18			
21/07/2010 2:00:00		3,149			8,22			
21/07/2010 8:00:00		3,151			8,18			
21/07/2010 14:00:00		3,161			8,20			
21/07/2010 20:00:00		3,165			8,16			
22/07/2010 2:00:00		3,164			8,18			
22/07/2010 8:00:00		3,163			8,20			
22/07/2010 14:00:00		3,153			8,18			
22/07/2010 20:00:00		3,152			8,18			
23/07/2010 2:00:00		3,154			8,25			
23/07/2010 8:00:00		3,150			8,20			
23/07/2010 14:00:00		3,152			8,22			
23/07/2010 20:00:00		3,159			8,25			
24/07/2010 2:00:00		3,159			8,25			
24/07/2010 8:00:00		3,162			8,22			
24/07/2010 14:00:00		3,174			8,23			
24/07/2010 20:00:00		3,183			8,23			
25/07/2010 2:00:00		3,186			8,21			
25/07/2010 8:00:00		3,193			8,17			
25/07/2010 14:00:00		3,195			8,17			
25/07/2010 20:00:00		3,193			8,17			
26/07/2010 2:00:00		3,191			8,16			
26/07/2010 8:00:00		3,182			8,19			
26/07/2010 14:00:00		3,180			8,19			
26/07/2010 20:00:00		3,183			8,16			
27/07/2010 2:00:00		3,179			8,21			
27/07/2010 8:00:00		3,181			8,16			
27/07/2010 14:00:00		3,184			8,19			
27/07/2010 20:00:00		3,187			8,21			
28/07/2010 2:00:00		3,190			8,16			
28/07/2010 8:00:00		3,189			8,19			
28/07/2010 14:00:00		3,186			8,21			
28/07/2010 20:00:00		3,194			8,17			
29/07/2010 2:00:00		3,188			8,19			
29/07/2010 8:00:00		3,190			8,16			
29/07/2010 14:00:00		3,197			8,17			
29/07/2010 20:00:00		3,196			8,17			
30/07/2010 2:00:00		3,191			8,19			
30/07/2010 8:00:00		3,199			8,17			
30/07/2010 14:00:00		3,195			8,17			
30/07/2010 20:00:00		3,200			8,17			
31/07/2010 2:00:00		3,201			8,17			
31/07/2010 8:00:00		3,208			8,17			
31/07/2010 14:00:00		3,217			8,20			
31/07/2010 20:00:00		3,221			8,18			
1/08/2010 2:00:00		3,221			8,18			
1/08/2010 8:00:00		3,224			8,16			
1/08/2010 14:00:00		3,223			8,18			
1/08/2010 20:00:00		3,228			8,16			
2/08/2010 2:00:00		3,227			8,18			
2/08/2010 8:00:00		3,221			8,16			
2/08/2010 14:00:00		3,215			8,20			
2/08/2010 20:00:00		3,213			8,22			
3/08/2010 2:00:00		3,211			8,22			
3/08/2010 8:00:00		3,214			8,22			
3/08/2010 14:00:00		3,214			8,22			
3/08/2010 20:00:00		3,215			8,20			
4/08/2010 2:00:00		3,214			8,22			
4/08/2010 8:00:00		3,213			8,22			
4/08/2010 14:00:00		3,221			8,21			
4/08/2010 20:00:00		3,219			8,22			
5/08/2010 2:00:00		3,218			8,22			
5/08/2010 8:00:00		3,225			8,25			
5/08/2010 14:00:00		3,223			8,23			
5/08/2010 20:00:00		3,222			8,23			
6/08/2010 2:00:00		3,225			8,25			
6/08/2010 8:00:00		3,219			8,27			
6/08/2010 14:00:00		3,219			8,24			
6/08/2010 20:00:00		3,224			8,25			
7/08/2010 2:00:00		3,224			8,23			
7/08/2010 8:00:00		3,229			8,27			
7/08/2010 14:00:00		3,238			8,25			
7/08/2010 20:00:00		3,245			8,27			
8/08/2010 2:00:00		3,246			8,30			
8/08/2010 8:00:00		3,251			8,24			
8/08/2010 14:00:00		3,252			8,28			
8/08/2010 20:00:00		3,253			8,26			
9/08/2010 2:00:00		3,250			8,26			
9/08/2010 8:00:00		3,239			8,30			
9/08/2010 14:00:00		3,230			8,27			
9/08/2010 20:00:00		3,229			8,27			
10/08/2010 2:00:00		3,229			8,32			
10/08/2010 8:00:00		3,225			8,34			
10/08/2010 14:00:00		3,220			8,30			
10/08/2010 20:00:00		3,224			8,30			
11/08/2010 2:00:00		3,229			8,30			
11/08/2010 8:00:00		3,227			8,30			
11/08/2010 14:00:00		3,226			8,30			
11/08/2010 20:00:00		3,229			8,34			
12/08/2010 2:00:00		3,231			8,34			
12/08/2010 8:00:00		3,237			8,32			
12/08/2010 14:00:00		3,228			8,30			
12/08/2010 20:00:00		3,227			8,30			
13/08/2010 2:00:00		3,224			8,32			
13/08/2010 8:00:00		3,231			8,32			
13/08/2010 14:00:00		3,227			8,32			
13/08/2010 20:00:00		3,228			8,30			
14/08/2010 2:00:00		3,231			8,32			
14/08/2010 8:00:00		3,240			8,34			
14/08/2010 14:00:00		3,243			8,34			
14/08/2010 20:00:00		3,248			8,33			
15/08/2010 2:00:00		3,250			8,35			
15/08/2010 8:00:00		3,257			8,35			
15/08/2010 14:00:00		3,258			8,31			
15/08/2010 20:00:00		3,258			8,35			
16/08/2010 2:00:00		3,255			8,35			
16/08/2010 8:00:00		3,253			8,33			
16/08/2010 14:00:00		3,251			8,33			
16/08/2010 20:00:00		3,250			8,33			
17/08/2010 2:00:00		3,247			8,37			
17/08/2010 8:00:00		3,245			8,34			
17/08/2010 14:00:00		3,245			8,37			
17/08/2010 20:00:00		3,249			8,35			
18/08/2010 2:00:00		3,244			8,39			
18/08/2010 8:00:00		3,241			8,34			
18/08/2010 14:00:00		3,244			8,34			
18/08/2010 20:00:00		3,244			8,34			
19/08/2010 2:00:00		3,240			8,34			
19/08/2010 8:00:00		3,238			8,37			
19/08/2010 14:00:00		3,236			8,37			
19/08/2010 20:00:00		3,237			8,34			
20/08/2010 2:00:00		3,233			8,39			
20/08/2010 8:00:00		3,230			8,34			
20/08/2010 14:00:00		3,230			8,37			
20/08/2010 20:00:00		3,233			8,37			
21/08/2010 2:00:00		3,236			8,39			
21/08/2010 8:00:00		3,238			8,39			
21/08/2010 14:00:00		3,248			8,38			
21/08/2010 20:00:00		3,250			8,35			
22/08/2010 2:00:00		3,251			8,40			
22/08/2010 8:00:00		3,256			8,35			
22/08/2010 14:00:00		3,256			8,38			
22/08/2010 20:00:00		3,255			8,35			
23/08/2010 2:00:00		3,252			8,38			
23/08/2010 8:00:00		3,244			8,37			
23/08/2010 14:00:00		3,240			8,37			
23/08/2010 20:00:00		3,240			8,37			
24/08/2010 2:00:00		3,242			8,39			
24/08/2010 8:00:00		3,237			8,37			
24/08/2010 14:00:00		3,234			8,39			
24/08/2010 20:00:00		3,232			8,39			
25/08/2010 2:00:00		3,235			8,37			
25/08/2010 8:00:00		3,231			8,39			
25/08/2010 14:00:00		3,227			8,30			
25/08/2010 20:00:00		3,227			8,37			
26/08/2010 2:00:00		3,229			8,39			
26/08/2010 8:00:00		3,227			8,39			
26/08/2010 14:00:00		3,228			8,39			
26/08/2010 20:00:00		3,226			8,41			
27/08/2010 2:00:00		3,227			8,41			
27/08/2010 8:00:00		3,226			8,39			
27/08/2010 14:00:00		3,225			8,39			
27/08/2010 20:00:00		3,231			8,39			
28/08/2010 2:00:00		3,223			8,41			
28/08/2010 8:00:00		3,229			8,39			
28/08/2010 14:00:00		3,238			8,41			
28/08/2010 20:00:00		3,242			8,41			
29/08/2010 2:00:00		3,241			8,41			
29/08/2010 8:00:00		3,253			8,40			
29/08/2010 14:00:00		3,251			8,42			
29/08/2010 20:00:00		3,253			8,40			
30/08/2010 2:00:00		3,252			8,42			
30/08/2010 8:00:00		3,245			8,41			
30/08/2010 14:00:00		3,239			8,39			
30/08/2010 20:00:00		3,234			8,41			
31/08/2010 2:00:00		3,235			8,41			
31/08/2010 8:00:00		3,236			8,39			
31/08/2010 14:00:00		3,230			8,41			
31/08/2010 20:00:00		3,228			8,41			
1/09/2010 2:00:00		3,226			8,46			
1/09/2010 8:00:00		3,224			8,39			
1/09/2010 14:00:00		3,226			8,39			
1/09/2010 20:00:00		3,221			8,41			
2/09/2010 2:00:00		3,214			8,43			
2/09/2010 8:00:00		3,215			8,47			
2/09/2010 14:00:00		3,216			8,47			
