
Datum	Waterstand	Temperatuur water	Temperatuur intern
2018-06-26 07:15:00	-194.76	13.26	10.49
2018-06-26 07:30:00	-194.69	13.26	10.9
2018-06-26 07:45:00	-194.63	13.22	11.23
2018-06-26 08:00:00	-194.61	13.26	11.6
2018-06-26 08:15:00	-194.58	13.26	12.06
2018-06-26 08:30:00	-194.58	13.26	12.56
2018-06-26 08:45:00	-194.53	13.26	12.97
2018-06-26 09:00:00	-194.52	13.26	13.47
2018-06-26 09:15:00	-194.52	13.26	13.88
2018-06-26 09:30:00	-194.51	13.26	14.42
2018-06-26 09:45:00	-194.5	13.26	15.33
2018-06-26 10:00:00	-194.5	13.26	16.22
2018-06-26 10:15:00	-194.57	13.26	17.95
2018-06-26 10:30:00	-194.63	13.26	19.21
2018-06-26 10:45:00	-194.67	13.26	19.87
2018-06-26 11:00:00	-194.73	13.26	20.96
2018-06-26 11:15:00	-194.79	13.26	22.31
2018-06-26 11:30:00	-194.83	13.26	23.22
2018-06-26 11:45:00	-194.93	13.26	24.29
2018-06-26 12:00:00	-194.98	13.26	25.32
2018-06-26 12:15:00	-195.03	13.26	26.23
2018-06-26 12:30:00	-195.15	13.26	27.17
2018-06-26 12:45:00	-195.2	13.26	28.08
2018-06-26 13:00:00	-195.25	13.26	28.99
2018-06-26 13:15:00	-195.35	13.26	29.78
2018-06-26 13:30:00	-195.46	13.26	30.63
2018-06-26 13:45:00	-195.56	13.26	31.5
2018-06-26 14:00:00	-195.63	13.26	32.43
2018-06-26 14:15:00	-195.73	13.26	33.42
2018-06-26 14:30:00	-195.82	13.26	34.38
2018-06-26 14:45:00	-195.92	13.26	35.19
2018-06-26 15:00:00	-196	13.26	35.98
2018-06-26 15:15:00	-196.11	13.26	36.6
2018-06-26 15:30:00	-196.13	13.26	37.27
2018-06-26 15:45:00	-196.22	13.26	37.95
2018-06-26 16:00:00	-196.3	13.26	38.62
2018-06-26 16:15:00	-196.37	13.26	39.29
2018-06-26 16:30:00	-196.45	13.26	39.85
2018-06-26 16:45:00	-196.52	13.26	40.23
2018-06-26 17:00:00	-196.57	13.26	40.5
2018-06-26 17:15:00	-196.62	13.26	40.73
2018-06-26 17:30:00	-196.63	13.26	40.91
2018-06-26 17:45:00	-196.68	13.26	40.91
2018-06-26 18:00:00	-196.73	13.26	40.67
2018-06-26 18:15:00	-196.78	13.26	40.29
2018-06-26 18:30:00	-196.85	13.26	39.82
2018-06-26 18:45:00	-196.91	13.26	39.27
2018-06-26 19:00:00	-196.95	13.26	38.41
2018-06-26 19:15:00	-197.06	13.26	37.39
2018-06-26 19:30:00	-197.11	13.26	36.24
2018-06-26 19:45:00	-197.19	13.26	35.1
2018-06-26 20:00:00	-197.23	13.26	33.99
2018-06-26 20:15:00	-197.23	13.26	32.85
2018-06-26 20:30:00	-197.27	13.26	31.68
2018-06-26 20:45:00	-197.27	13.26	30.36
2018-06-26 21:00:00	-197.23	13.26	28.71
2018-06-26 21:15:00	-197.18	13.26	27.14
2018-06-26 21:30:00	-197.13	13.26	25.57
2018-06-26 21:45:00	-197.14	13.26	24.06
2018-06-26 22:00:00	-197.1	13.26	22.58
2018-06-26 22:15:00	-197.07	13.26	21.23
2018-06-26 22:30:00	-196.98	13.26	20.05
2018-06-26 22:45:00	-196.92	13.3	18.95
2018-06-26 23:00:00	-196.83	13.26	17.99
2018-06-26 23:15:00	-196.73	13.26	17.21
2018-06-26 23:30:00	-196.68	13.26	16.55
2018-06-26 23:45:00	-196.6	13.26	15.99
2018-06-27 00:00:00	-196.48	13.3	15.51
2018-06-27 00:15:00	-196.39	13.26	15.07
2018-06-27 00:30:00	-196.25	13.3	14.58
2018-06-27 00:45:00	-196.16	13.26	14.17
2018-06-27 01:00:00	-196.11	13.3	13.8
2018-06-27 01:15:00	-196.02	13.26	13.47
2018-06-27 01:30:00	-195.94	13.26	13.14
2018-06-27 01:45:00	-195.87	13.3	12.85
2018-06-27 02:00:00	-195.79	13.26	12.56
2018-06-27 02:15:00	-195.69	13.26	12.27
2018-06-27 02:30:00	-195.59	13.26	12.06
2018-06-27 02:45:00	-195.54	13.3	11.81
2018-06-27 03:00:00	-195.48	13.26	11.6
2018-06-27 03:15:00	-195.39	13.26	11.44
2018-06-27 03:30:00	-195.32	13.26	11.27
2018-06-27 03:45:00	-195.31	13.3	11.15
2018-06-27 04:00:00	-195.22	13.3	11.02
2018-06-27 04:15:00	-195.15	13.3	10.9
2018-06-27 04:30:00	-195.1	13.3	10.78
2018-06-27 04:45:00	-195.08	13.3	10.69
2018-06-27 05:00:00	-195.1	13.3	10.57
2018-06-27 05:15:00	-195.08	13.3	10.45
2018-06-27 05:30:00	-195.04	13.3	10.36
2018-06-27 05:45:00	-195.03	13.3	10.28
2018-06-27 06:00:00	-194.99	13.3	10.28
2018-06-27 06:15:00	-194.98	13.3	10.28
2018-06-27 06:30:00	-194.9	13.26	10.32
2018-06-27 06:45:00	-194.84	13.26	10.45
2018-06-27 07:00:00	-194.82	13.3	10.61
2018-06-27 07:15:00	-194.76	13.3	10.9
2018-06-27 07:30:00	-194.73	13.3	11.19
2018-06-27 07:45:00	-194.71	13.3	11.48
2018-06-27 08:00:00	-194.72	13.3	11.77
2018-06-27 08:15:00	-194.68	13.3	12.18
2018-06-27 08:30:00	-194.69	13.26	13.01
2018-06-27 08:45:00	-194.69	13.3	14.13
2018-06-27 09:00:00	-194.76	13.26	15.33
2018-06-27 09:15:00	-194.83	13.3	16.4
2018-06-27 09:30:00	-194.83	13.26	17.66
2018-06-27 09:45:00	-194.84	13.3	19.06
2018-06-27 10:00:00	-194.91	13.3	20.42
2018-06-27 10:15:00	-194.96	13.3	21.67
2018-06-27 10:30:00	-195.03	13.3	22.78
