Serial_number:
2006280
Project ID:
Slugtest
Location:
2-0105 F2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2013/06/06,12:57:35,0,10.3675,26.222
2013/06/06,12:57:35,125,10.3666,26.222
2013/06/06,12:57:35,250,10.3667,26.222
2013/06/06,12:57:35,375,10.3666,26.222
2013/06/06,12:57:35,500,10.3674,26.236
2013/06/06,12:57:35,625,10.3671,26.236
2013/06/06,12:57:35,750,10.3662,26.236
2013/06/06,12:57:35,875,10.3666,26.236
2013/06/06,12:57:36,0,10.3674,26.243
2013/06/06,12:57:36,125,10.3666,26.243
2013/06/06,12:57:36,250,10.3668,26.243
2013/06/06,12:57:36,375,10.3666,26.243
2013/06/06,12:57:36,500,10.3673,26.250
2013/06/06,12:57:36,625,10.3668,26.250
2013/06/06,12:57:36,750,10.3666,26.250
2013/06/06,12:57:36,875,10.3675,26.250
2013/06/06,12:57:37,0,10.3675,26.258
2013/06/06,12:57:37,125,10.3668,26.258
2013/06/06,12:57:37,250,10.3667,26.258
2013/06/06,12:57:37,375,10.3668,26.258
2013/06/06,12:57:37,500,10.3675,26.261
2013/06/06,12:57:37,625,10.3665,26.261
2013/06/06,12:57:37,750,10.3663,26.261
2013/06/06,12:57:37,875,10.3666,26.261
2013/06/06,12:57:38,0,10.3676,26.265
2013/06/06,12:57:38,125,10.3670,26.265
2013/06/06,12:57:38,250,10.3667,26.265
2013/06/06,12:57:38,375,10.3667,26.265
2013/06/06,12:57:38,500,10.3676,26.270
2013/06/06,12:57:38,625,10.3667,26.270
2013/06/06,12:57:38,750,10.3668,26.270
2013/06/06,12:57:38,875,10.3670,26.270
2013/06/06,12:57:39,0,10.3675,26.277
2013/06/06,12:57:39,125,10.3677,26.277
2013/06/06,12:57:39,250,10.3666,26.277
2013/06/06,12:57:39,375,10.3667,26.277
2013/06/06,12:57:39,500,10.3674,26.279
2013/06/06,12:57:39,625,10.3669,26.279
2013/06/06,12:57:39,750,10.3667,26.279
2013/06/06,12:57:39,875,10.3667,26.279
2013/06/06,12:57:40,0,10.3674,26.283
2013/06/06,12:57:40,125,10.3666,26.283
2013/06/06,12:57:40,250,10.3670,26.283
2013/06/06,12:57:40,375,10.3669,26.283
2013/06/06,12:57:40,500,10.3676,26.287
2013/06/06,12:57:40,625,10.3668,26.287
2013/06/06,12:57:40,750,10.3669,26.287
2013/06/06,12:57:40,875,10.3666,26.287
2013/06/06,12:57:41,0,10.3676,26.292
2013/06/06,12:57:41,125,10.3666,26.292
2013/06/06,12:57:41,250,10.3670,26.292
2013/06/06,12:57:41,375,10.3671,26.292
