"PPNT_ID","PPNT_CDE","DRSO_ID","DRSO_SER_NBR","DRME_ID","DRME_OCR_UTC_DTE","DRME_DRU","DRME_TPU","DRME_DMTP_CDE","DRME_DMST_CDE"
"637","BAOL052X","397","F6620","1461881","28/01/2011 12:00:00 +01:00","1043,5","","LDME","ENT"
"637","BAOL052X","397","F6620","1461882","29/01/2011 0:00:00 +01:00","1041,8","","LDME","ENT"
"637","BAOL052X","397","F6620","1461883","29/01/2011 12:00:00 +01:00","1041,2","","LDME","ENT"
"637","BAOL052X","397","F6620","1461884","30/01/2011 0:00:00 +01:00","1041,3","","LDME","ENT"
"637","BAOL052X","397","F6620","1461885","30/01/2011 12:00:00 +01:00","1042,6","","LDME","ENT"
"637","BAOL052X","397","F6620","1461886","31/01/2011 0:00:00 +01:00","1043,8","","LDME","ENT"
"637","BAOL052X","397","F6620","1461887","31/01/2011 12:00:00 +01:00","1046,6","","LDME","ENT"
"637","BAOL052X","397","F6620","1461888","1/02/2011 0:00:00 +01:00","1047,4","","LDME","ENT"
"637","BAOL052X","397","F6620","1461889","1/02/2011 12:00:00 +01:00","1046,9","","LDME","ENT"
"637","BAOL052X","397","F6620","1461890","2/02/2011 0:00:00 +01:00","1048,2","","LDME","ENT"
"637","BAOL052X","397","F6620","1461891","2/02/2011 12:00:00 +01:00","1049","","LDME","ENT"
"637","BAOL052X","397","F6620","1461892","3/02/2011 0:00:00 +01:00","1043,5","","LDME","ENT"
"637","BAOL052X","397","F6620","1461893","3/02/2011 12:00:00 +01:00","1046,8","","LDME","ENT"
"637","BAOL052X","397","F6620","1461894","4/02/2011 0:00:00 +01:00","1041,7","","LDME","ENT"
"637","BAOL052X","397","F6620","1461895","4/02/2011 12:00:00 +01:00","1040","","LDME","ENT"
"637","BAOL052X","397","F6620","1461896","5/02/2011 0:00:00 +01:00","1039,8","","LDME","ENT"
"637","BAOL052X","397","F6620","1461897","5/02/2011 12:00:00 +01:00","1041,9","","LDME","ENT"
"637","BAOL052X","397","F6620","1461898","6/02/2011 0:00:00 +01:00","1042,9","","LDME","ENT"
"637","BAOL052X","397","F6620","1461899","6/02/2011 12:00:00 +01:00","1044,2","","LDME","ENT"
